PlayerName,Position,MarketValue,PPS,S1 FP/G,S2 FP/G,S3 FP/G,S4 FP/G,S5 FP/G,S6 FP/G,S7 FP/G,S8 FP/G,S9 FP/G,S10 FP/G,S11 FP/G,S12 FP/G,S1 GP,S2 GP,S3 GP,S4 GP,S5 GP,S6 GP,S7 GP,S8 GP,S9 GP,S10 GP,S11 GP,S12 GP
Deni Avdija,"G,F,Flx",3.0,53.529,32.66,37.96,51.59,56.67,,,,,,,,,82.0,76.0,75.0,72.0,,,,,,,,
Jaylen Brown,"G,F,Flx",28.0,53.18093666666668,60.11,66.48,59.87,59.02,,,,,,,,,66.0,67.0,70.0,63.0,,,,,,,,
Tyler Herro,"G,Flx",12.0,52.644059999999996,51.02,55.04,55.64,66.55,,,,,,,,,66.0,67.0,42.0,77.0,,,,,,,,
Jordan Poole,"G,Flx",7.0,52.0935,49.54,48.01,45.13,55.4,,,,,,,,,76.0,82.0,78.0,68.0,,,,,,,,
Desmond Bane,"G,F,Flx",13.0,51.789325,52.78,60.74,65.67,62.96,,,,,,,,,76.0,58.0,42.0,69.0,,,,,,,,
Fred VanVleet,"G,Flx",22.0,51.21327000000001,68.22,66.33,68.18,52.1,,,,,,,,,65.0,69.0,73.0,60.0,,,,,,,,
Mikal Bridges,"G,F,Flx",14.0,50.818000000000005,45.66,55.76,52.71,49.33,,,,,,,,,82.0,83.0,82.0,82.0,,,,,,,,
Coby White,"G,Flx",18.0,50.77584,35.87,32.34,54.46,55.45,,,,,,,,,61.0,74.0,79.0,74.0,,,,,,,,
Jalen Green,"G,Flx",4.0,50.3775,40.42,48.66,50.07,50.76,,,,,,,,,67.0,76.0,82.0,82.0,,,,,,,,
Isaiah Hartenstein,"C,Flx",4.0,49.92152,37.41,30.98,48.33,58.35,,,,,,,,,68.0,82.0,75.0,57.0,,,,,,,,
Jimmy Butler,"F,Flx",28.0,49.66226666666666,65.47,73.0,63.03,61.65,,,,,,,,,57.0,64.0,60.0,55.0,,,,,,,,
Cade Cunningham,"G,Flx",31.0,49.290106666666674,52.06,54.83,62.0,77.09,,,,,,,,,64.0,12.0,62.0,70.0,,,,,,,,
Joel Embiid,"C,Flx",63.0,49.10272,89.29,91.53,101.41,64.95,,,,,,,,,68.0,66.0,39.0,19.0,,,,,,,,
CJ McCollum,"G,Flx",8.0,48.337601666666664,60.45,58.56,61.2,53.59,,,,,,,,,62.0,75.0,66.0,56.0,,,,,,,,
Russell Westbrook,"G,Flx",9.0,48.02931,57.51,55.88,41.19,50.96,,,,,,,,,78.0,73.0,68.0,75.0,,,,,,,,
Jakob Poeltl,"C,Flx",8.0,47.94228833333334,58.29,54.9,52.54,60.93,,,,,,,,,68.0,72.0,50.0,57.0,,,,,,,,
Zach LaVine,"G,F,Flx",19.0,47.81673000000001,60.49,61.61,53.2,60.88,,,,,,,,,67.0,77.0,25.0,74.0,,,,,,,,
RJ Barrett,"G,F,Flx",19.0,47.10951,45.8,42.58,50.02,58.16,,,,,,,,,70.0,73.0,58.0,58.0,,,,,,,,
Trey Murphy,"F,Flx",1.0,46.87843333333333,18.1,45.53,48.79,60.43,,,,,,,,,62.0,79.0,57.0,53.0,,,,,,,,
Tobias Harris,"F,Flx",14.0,46.212466666666664,51.95,48.28,53.69,45.47,,,,,,,,,73.0,74.0,70.0,73.0,,,,,,,,
Myles Turner,"C,Flx",12.0,45.90600666666667,52.19,59.87,54.22,53.68,,,,,,,,,42.0,62.0,77.0,72.0,,,,,,,,
Kyrie Irving,"G,Flx",36.0,45.81891666666667,74.97,75.8,72.76,67.7,,,,,,,,,29.0,60.0,58.0,50.0,,,,,,,,
Naz Reid,"F,C,Flx",2.0,44.836000000000006,28.64,36.18,42.36,47.12,,,,,,,,,77.0,68.0,81.0,80.0,,,,,,,,
Daniel Gafford,"C,Flx",10.0,44.679,37.38,36.88,52.34,47.58,,,,,,,,,72.0,78.0,74.0,57.0,,,,,,,,
Kristaps Porzingis,"C,Flx",18.0,44.65191666666667,61.08,70.42,63.7,60.52,,,,,,,,,51.0,65.0,57.0,42.0,,,,,,,,
Immanuel Quickley,"G,Flx",24.0,44.541466666666665,35.58,46.47,50.93,52.33,,,,,,,,,78.0,81.0,68.0,33.0,,,,,,,,
Tyus Jones,"G,Flx",2.0,44.4565,34.89,41.0,52.2,42.01,,,,,,,,,73.0,80.0,66.0,81.0,,,,,,,,
Chris Paul,"G,Flx",4.0,44.04356,70.43,62.64,46.0,49.67,,,,,,,,,65.0,59.0,58.0,82.0,,,,,,,,
Jalen Williams,"G,F,Flx",19.0,43.87254166666667,0.0,47.48,57.06,64.93,,,,,,,,,0.0,75.0,71.0,69.0,,,,,,,,
Onyeka Okongwu,"C,Flx",2.0,43.76453,37.42,43.16,42.55,55.59,,,,,,,,,48.0,80.0,55.0,74.0,,,,,,,,
P.J. Washington,"F,Flx",2.0,43.5366,41.14,46.74,42.63,51.39,,,,,,,,,65.0,73.0,73.0,57.0,,,,,,,,
Lauri Markkanen,"F,Flx",26.0,43.49587833333333,44.15,70.98,69.04,50.19,,,,,,,,,61.0,66.0,55.0,47.0,,,,,,,,
Jonas Valanciunas,"C,Flx",25.0,43.351000000000006,63.12,50.18,47.98,40.52,,,,,,,,,74.0,79.0,82.0,81.0,,,,,,,,
LaMelo Ball,"G,Flx",48.0,43.2906,72.64,76.0,75.32,70.34,,,,,,,,,75.0,36.0,22.0,47.0,,,,,,,,
John Collins,"F,Flx",2.0,43.24169333333333,53.3,42.38,51.26,59.42,,,,,,,,,54.0,71.0,68.0,40.0,,,,,,,,
Bobby Portis,"F,C,Flx",2.0,43.07667000000001,51.26,48.84,44.44,48.22,,,,,,,,,72.0,70.0,82.0,49.0,,,,,,,,
Nicolas Claxton,"C,Flx",9.0,42.98536000000001,34.87,58.99,55.39,44.77,,,,,,,,,47.0,76.0,71.0,70.0,,,,,,,,
D'Angelo Russell,Flx,14.0,42.7986,56.54,56.07,57.86,42.28,,,,,,,,,65.0,71.0,76.0,58.0,,,,,,,,
Jrue Holiday,"G,Flx",12.0,42.632758333333335,64.67,66.46,52.07,44.0,,,,,,,,,67.0,67.0,69.0,62.0,,,,,,,,
Aaron Gordon,"F,Flx",4.0,42.29903,44.79,53.0,49.88,45.78,,,,,,,,,75.0,68.0,73.0,51.0,,,,,,,,
OG Anunoby,"F,Flx",9.0,42.02297166666666,52.65,53.3,46.44,55.09,,,,,,,,,48.0,67.0,50.0,74.0,,,,,,,,
Paolo Banchero,"F,Flx",21.0,41.6724,0.0,51.97,61.42,65.52,,,,,,,,,0.0,72.0,80.0,46.0,,,,,,,,
Michael Porter,"F,Flx",4.0,41.24137333333333,33.11,48.27,51.36,55.94,,,,,,,,,9.0,62.0,81.0,77.0,,,,,,,,
Anfernee Simons,"G,Flx",6.0,40.882558333333336,45.25,52.0,56.48,50.57,,,,,,,,,57.0,62.0,46.0,70.0,,,,,,,,
Jamal Murray,"G,Flx",20.0,40.712923333333336,0.0,59.69,64.81,64.27,,,,,,,,,0.0,65.0,59.0,67.0,,,,,,,,
Deandre Ayton,"C,Flx",11.0,40.555899999999994,58.1,56.66,59.58,53.45,,,,,,,,,58.0,67.0,55.0,40.0,,,,,,,,
Clint Capela,"C,Flx",4.0,40.55552000000001,56.03,55.66,53.59,40.93,,,,,,,,,74.0,65.0,73.0,55.0,,,,,,,,
Mike Conley,"G,Flx",4.0,40.30979333333334,50.14,49.76,49.96,38.18,,,,,,,,,72.0,67.0,76.0,71.0,,,,,,,,
Devin Vassell,"G,F,Flx",4.0,40.257845,39.93,51.29,54.15,48.38,,,,,,,,,71.0,38.0,68.0,64.0,,,,,,,,
Brook Lopez,"C,Flx",11.0,40.163333333333334,35.62,54.37,47.77,47.41,,,,,,,,,13.0,78.0,79.0,80.0,,,,,,,,
Malik Beasley,"G,Flx",,40.124500000000005,32.95,34.78,36.06,42.51,,,,,,,,,79.0,81.0,79.0,82.0,,,,,,,,
Dennis Schroder,"G,Flx",10.0,40.025875,39.7,36.65,46.23,41.4,,,,,,,,,64.0,66.0,80.0,75.0,,,,,,,,
Draymond Green,"F,C,Flx",4.0,39.97356,51.09,50.48,50.13,49.19,,,,,,,,,46.0,73.0,55.0,68.0,,,,,,,,
Paul George,"F,Flx",27.0,39.752926666666674,70.84,68.41,65.61,55.07,,,,,,,,,31.0,56.0,74.0,41.0,,,,,,,,
Spencer Dinwiddie,"G,Flx",1.0,39.496500000000005,44.78,54.96,37.41,37.92,,,,,,,,,67.0,79.0,76.0,79.0,,,,,,,,
Kyle Kuzma,"F,Flx",6.0,39.356033333333336,55.82,55.69,57.53,37.85,,,,,,,,,66.0,64.0,70.0,65.0,,,,,,,,
Kelly Oubre Jr.,"F,Flx",1.0,39.30402,40.41,48.1,42.68,48.17,,,,,,,,,76.0,48.0,68.0,60.0,,,,,,,,
Jalen Johnson,"G,Flx",23.0,39.29503999999999,6.55,23.81,60.64,71.58,,,,,,,,,22.0,70.0,56.0,36.0,,,,,,,,
Donte DiVincenzo,"G,Flx",10.0,38.896521666666665,34.36,42.82,50.22,43.95,,,,,,,,,42.0,72.0,81.0,62.0,,,,,,,,
Ja Morant,"G,Flx",32.0,38.585114999999995,71.26,71.52,71.89,61.96,,,,,,,,,57.0,61.0,9.0,50.0,,,,,,,,
Keldon Johnson,"G,F,Flx",1.0,38.500933333333336,48.11,50.43,46.62,36.88,,,,,,,,,75.0,63.0,69.0,77.0,,,,,,,,
Jalen Duren,"C,Flx",18.0,38.50071333333334,0.0,43.3,57.43,57.51,,,,,,,,,0.0,67.0,61.0,78.0,,,,,,,,
Cameron Johnson,"F,Flx",1.0,38.22405833333333,40.32,47.9,42.62,55.35,,,,,,,,,66.0,42.0,58.0,57.0,,,,,,,,
Andrew Wiggins,"G,F,Flx",2.0,37.98722333333334,47.44,52.24,36.77,50.57,,,,,,,,,73.0,37.0,71.0,60.0,,,,,,,,
Buddy Hield,"G,F,Flx",3.0,37.782500000000006,45.05,54.11,40.54,34.21,,,,,,,,,81.0,80.0,84.0,82.0,,,,,,,,
Norman Powell,"G,F,Flx",1.0,37.74100166666667,47.2,40.68,34.76,52.65,,,,,,,,,45.0,60.0,76.0,60.0,,,,,,,,
Caris LeVert,"G,F,Flx",1.0,37.2746,45.21,41.01,47.44,40.61,,,,,,,,,58.0,74.0,68.0,64.0,,,,,,,,
Miles Bridges,"F,Flx",16.0,37.26151,61.7,0.0,59.54,57.84,,,,,,,,,80.0,0.0,69.0,64.0,,,,,,,,
Harrison Barnes,"F,Flx",2.0,37.071,47.53,41.05,33.61,37.79,,,,,,,,,77.0,82.0,82.0,82.0,,,,,,,,
Walker Kessler,"C,Flx",5.0,36.63926,0.0,47.86,43.25,62.28,,,,,,,,,0.0,74.0,64.0,58.0,,,,,,,,
Grayson Allen,"G,Flx",4.0,36.43611833333333,35.23,36.0,48.91,36.36,,,,,,,,,66.0,72.0,75.0,64.0,,,,,,,,
Al Horford,"C,Flx",3.0,35.99070833333333,50.78,46.75,43.66,40.65,,,,,,,,,69.0,63.0,65.0,60.0,,,,,,,,
Brandon Ingram,"F,Flx",17.0,35.967446666666675,58.04,62.38,58.64,59.06,,,,,,,,,55.0,45.0,64.0,18.0,,,,,,,,
Keegan Murray,"F,Flx",3.0,35.70530833333333,0.0,40.62,48.77,45.72,,,,,,,,,0.0,80.0,77.0,76.0,,,,,,,,
Jusuf Nurkic,"C,Flx",6.0,35.381991666666664,58.18,52.4,57.3,39.39,,,,,,,,,56.0,52.0,76.0,51.0,,,,,,,,
Klay Thompson,"G,F,Flx",2.0,35.28333333333334,49.81,53.96,45.44,39.36,,,,,,,,,32.0,69.0,77.0,72.0,,,,,,,,
Terry Rozier,"G,Flx",5.0,34.749975,58.33,55.32,58.03,30.62,,,,,,,,,73.0,63.0,61.0,64.0,,,,,,,,
