PlayerName,Position,MarketValue,PPS,S1 FP/G,S2 FP/G,S3 FP/G,S4 FP/G,S5 FP/G,S6 FP/G,S7 FP/G,S8 FP/G,S9 FP/G,S10 FP/G,S11 FP/G,S12 FP/G,S1 GP,S2 GP,S3 GP,S4 GP,S5 GP,S6 GP,S7 GP,S8 GP,S9 GP,S10 GP,S11 GP,S12 GP
Bones Hyland,"G,Flx",1.0,13.348600000000001,31.68,33.2,21.49,19.75,,,,,,,,,69.0,56.0,37.0,24.0,,,,,,,,
Marvin Bagley,"F,C,Flx",1.0,13.227134999999997,35.75,37.76,38.12,15.23,,,,,,,,,48.0,42.0,50.0,31.0,,,,,,,,
Dereck Lively,"C,Flx",7.0,12.368568333333334,0.0,0.0,41.76,46.67,,,,,,,,,0.0,0.0,55.0,36.0,,,,,,,,
Steven Adams,"C,Flx",4.0,12.203546666666664,48.58,52.21,0.0,23.97,,,,,,,,,76.0,42.0,0.0,58.0,,,,,,,,
Trayce Jackson-Davis,"C,Flx",1.0,11.767383333333333,0.0,0.0,33.69,28.82,,,,,,,,,0.0,0.0,68.0,62.0,,,,,,,,
Gradey Dick,"G,F,Flx",2.0,11.301770000000001,0.0,0.0,22.87,36.96,,,,,,,,,0.0,0.0,60.0,54.0,,,,,,,,
Saddiq Bey,"F,Flx",2.0,11.068919999999999,47.26,40.18,43.76,0.0,,,,,,,,,82.0,77.0,63.0,0.0,,,,,,,,
Markelle Fultz,"G,Flx",1.0,8.980789999999999,37.5,49.73,28.65,10.52,,,,,,,,,18.0,60.0,43.0,21.0,,,,,,,,
Christian Wood,"F,Flx",23.0,7.208216666666667,61.99,51.24,26.26,0.0,,,,,,,,,68.0,67.0,50.0,0.0,,,,,,,,
Alex Sarr,"F,C,Flx",1.0,6.397495,0.0,0.0,0.0,44.07,,,,,,,,,0.0,0.0,0.0,67.0,,,,,,,,
Gordon Hayward,"F,Flx",8.0,6.2955,47.88,43.46,32.98,0.0,,,,,,,,,49.0,50.0,51.0,0.0,,,,,,,,
Zach Edey,"C,Flx",18.0,6.1061000000000005,0.0,0.0,0.0,42.7,,,,,,,,,0.0,0.0,0.0,66.0,,,,,,,,
James Wiseman,"C,Flx",1.0,5.8876349999999995,0.0,29.82,26.89,10.0,,,,,,,,,0.0,45.0,63.0,1.0,,,,,,,,
Lonzo Ball,"G,Flx",1.0,5.590433333333333,59.89,0.0,0.0,36.86,,,,,,,,,35.0,0.0,0.0,35.0,,,,,,,,
Zaccharie Risacher,"F,Flx",3.0,5.4925,0.0,0.0,0.0,33.8,,,,,,,,,0.0,0.0,0.0,75.0,,,,,,,,
Matas Buzelis,"F,Flx",3.0,4.801333333333333,0.0,0.0,0.0,27.7,,,,,,,,,0.0,0.0,0.0,80.0,,,,,,,,
Robert Covington,"F,Flx",1.0,4.62352,41.13,27.17,26.62,0.0,,,,,,,,,71.0,48.0,29.0,0.0,,,,,,,,
Dalton Knecht,"G,F,Flx",1.0,4.16247,0.0,0.0,0.0,24.63,,,,,,,,,0.0,0.0,0.0,78.0,,,,,,,,
Will Barton,"G,Flx",1.0,0.9398000000000001,46.11,22.2,0.0,0.0,,,,,,,,,71.0,56.0,0.0,0.0,,,,,,,,
John Wall,"G,Flx",7.0,0.4030133333333334,0.0,35.56,0.0,0.0,,,,,,,,,0.0,34.0,0.0,0.0,,,,,,,,
Kemba Walker,"G,Flx",,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
Patrick Beverley,"G,Flx",,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
,Flx,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
