"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C","1","PartyMar","DAL Mon 9:00PM","8154","116.49","100%","0%","70","578.0","138","90","2,071","200","892","716","127","45","230","1","0","34","59"
"*04qro*","Shai Gilgeous-Alexander","OKC","G","2","L Bozo","","6826","89.82","100%","0%","76","796.0","163","68","2,484","67","379","486","131","77","183","1","0","0","6"
"*031m2*","Giannis Antetokounmpo","MIL","F,C","3","HAIRY","@WAS Mon 7:00PM","6295","93.96","100%","+0.1%","67","526.0","14","271","2,036","147","798","433","58","78","206","1","0","11","55"
"*01eo6*","James Harden","LAC","G","4","ASS","@MIA Mon 7:30PM","6128","77.57","100%","+0.1%","79","764.0","235","73","1,802","55","456","687","118","55","341","1","0","3","38"
"*03ad3*","Karl-Anthony Towns","NY","F,C","5","Penta","","5896","81.89","100%","0%","72","576.0","142","70","1,759","212","920","222","71","50","192","3","0","1","58"
"*04qrk*","Trae Young","ATL","G","6","9/11ST","@DET Mon 7:00PM","5804","76.37","99%","+0.1%","76","810.0","218","70","1,841","36","236","880","91","12","355","13","0","0","51"
"*042n7*","Domantas Sabonis","SAC","C","7","Bomb","","5772","82.46","99%","-0.5%","70","366.0","65","71","1,337","267","972","423","48","26","202","1","0","10","61"
"*03xmv*","Jayson Tatum","BOS","F","8","GN","","5749","79.85","65%","-0.3%","72","803.0","250","82","1,932","48","623","431","76","38","209","13","0","2","31"
"*05qug*","Anthony Edwards","MIN","G,F","9","GN","","5655","71.58","100%","0%","79","891.0","320","81","2,177","61","450","359","91","51","249","17","1","0","7"
"*0011e*","LeBron James","LAL","F","10","420","PHO Mon 10:00PM","5624","80.34","98%","+0.1%","70","619.0","149","72","1,710","72","546","575","70","39","260","1","0","10","32"
"*05qtv*","Tyrese Haliburton","IND","G","11","FA","CLE Mon 7:00PM","5560","76.16","48%","-0.1%","73","530.0","218","33","1,359","42","258","673","105","49","120","1","0","0","31"
"*042nt*","Ivica Zubac","LAC","C","12","TRUMP","@MIA Mon 7:30PM","5522","69.03","100%","0%","80","350.0","0","80","1,340","300","1,010","214","55","90","127","2","0","1","59"
"*05uib*","Cade Cunningham","DET","G","13","BALL","ATL Mon 7:00PM","5396","77.09","100%","0%","70","773.0","149","57","1,830","56","425","638","71","53","309","10","1","9","31"
"*04ewu*","Josh Hart","NY","G,F","14","9/11ST","","5152","66.91","99%","+1.5%","77","366.0","84","46","1,051","161","737","453","119","27","158","8","1","9","34"
"*04ewf*","Bam Adebayo","MIA","F,C","15","GN","LAC Mon 7:30PM","5150","66.03","100%","0%","78","573.0","79","77","1,409","185","749","337","98","53","161","1","0","1","38"
"*03nwm*","Devin Booker","PHO","G,F","16","HAIRY","@LAL Mon 10:00PM","5139","68.52","99%","-0.1%","75","766.0","183","51","1,923","76","305","529","67","16","220","6","0","0","16"
"*051ot*","Tyler Herro","MIA","G","17","GOD","LAC Mon 7:30PM","5124","66.55","98%","+0.8%","77","727.0","251","40","1,840","35","399","424","69","17","198","5","1","0","9"
"*05uiq*","Alperen Sengun","HOU","F,C","18","PRO","@UTA Mon 9:00PM","5123","67.41","100%","0%","76","576.0","21","132","1,451","262","786","372","84","61","194","6","1","4","45"
"*01enh*","Stephen Curry","GS","G","19","GWBush","","5114","73.06","99%","-0.1%","70","694.0","311","20","1,718","40","310","421","80","30","200","1","0","0","9"
"*027p0*","Nikola Vucevic","CHI","C","20","GOD","@ORL Mon 7:30PM","4970","68.08","100%","0%","73","488.0","129","29","1,349","178","735","256","61","52","119","7","0","1","45"
"*05uid*","Evan Mobley","CLE","F,C","21","GN","@IND Mon 7:00PM","4837","68.13","100%","0%","71","401.0","85","84","1,316","164","659","226","61","113","145","0","0","0","37"
"*04ewm*","Jarrett Allen","CLE","C","22","9/11ST","@IND Mon 7:00PM","4746","57.88","99%","-0.5%","82","188.0","0","78","1,103","216","798","158","77","73","97","0","1","0","40"
"*042nm*","Pascal Siakam","IND","F,C","23","BALL","CLE Mon 7:00PM","4718","60.49","100%","+0.2%","78","569.0","126","82","1,578","133","540","263","70","42","109","2","0","0","11"
"*06217*","Dyson Daniels","ATL","G,F","24","TRUMP","@DET Mon 7:00PM","4716","62.05","100%","+0.1%","76","468.0","80","57","1,073","124","449","333","229","55","155","3","0","0","9"
"*04ewe*","Donovan Mitchell","CLE","G","25","Penta","@IND Mon 7:00PM","4688","66.03","100%","0%","71","735.0","233","64","1,701","57","322","354","95","17","149","1","0","0","6"
"*051ol*","Darius Garland","CLE","G","26","BALL","@IND Mon 7:00PM","4644","61.92","97%","+0.2%","75","620.0","212","31","1,544","47","214","506","91","11","189","7","0","0","7"
"*05uig*","Josh Giddey","CHI","G","27","Bomb","@ORL Mon 7:30PM","4594","65.63","100%","0%","70","427.0","105","49","1,022","127","566","503","84","45","202","5","0","7","30"
"*05uus*","Austin Reaves","LAL","G,F","28","GOD","PHO Mon 10:00PM","4575","62.67","100%","0%","73","560.0","200","45","1,475","61","329","421","81","22","177","6","1","1","9"
"*04ewt*","Derrick White","BOS","G","29","GWBush","","4527","59.57","100%","0%","76","535.0","265","26","1,248","67","341","361","72","80","131","1","0","0","4"
"*03ams*","Zach LaVine","SAC","G,F","30","420","","4505","60.88","98%","-0.6%","74","598.0","239","50","1,724","22","315","310","58","12","208","0","0","0","6"
"*0621c*","Jalen Duren","DET","C","31","Penta","ATL Mon 7:00PM","4486","57.51","100%","0%","78","168.0","0","80","918","277","807","209","54","89","136","4","0","0","41"
