"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","PartyMar","","6982","96.97","100%","0%","72","561.0","92","52","1,898","205","780","599","95","48","222","6","0","16","60"
"*005kc*","Russell Westbrook","SAC","G,Flx","2","9/11FT","","5658","87.05","85%","+14.2%","65","694.0","86","142","1,445","109","750","763","89","23","312","14","1","38","59"
"*01enh*","Stephen Curry","GS","G,Flx","3","GWBush","","5496","87.24","99%","0%","63","707.0","337","33","2,015","29","345","363","77","8","213","1","0","0","8"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","4","HAIRY","@DAL Mon 8:30PM","5464","89.57","100%","0%","61","474.0","67","183","1,717","97","671","357","72","73","207","4","0","7","41"
"*04kj6*","Luka Doncic","LAL","G,Flx","5","ASS","@CHA Mon 7:00PM","5460","82.73","100%","0%","66","704.0","192","127","1,830","54","527","567","64","36","281","16","2","11","26"
"*027p0*","Nikola Vucevic","CHI","C,Flx","6","9/11ST","SA Mon 8:00PM","5376","76.8","100%","0%","70","730.0","176","25","1,639","146","817","269","65","48","126","9","0","2","48"
"*02nf6*","Damian Lillard","POR","G,Flx","7","FA","@ORL Mon 7:00PM","5353","79.9","37%","-0.1%","67","732.0","275","35","1,926","32","283","505","62","17","203","6","0","0","16"
"*03ajv*","Julius Randle","MIN","F,Flx","8","PRO","@UTA Mon 9:00PM","5258","74.06","100%","+0.1%","71","719.0","160","81","1,712","84","724","427","64","18","241","11","1","6","41"
"*042n7*","Domantas Sabonis","SAC","C,Flx","9","Bomb","","4957","79.95","100%","0%","62","420.0","52","88","1,260","150","742","415","76","33","213","4","0","9","48"
"*02xg9*","Rudy Gobert","MIN","C,Flx","10","HAIRY","@UTA Mon 9:00PM","4846","68.25","98%","-0.1%","71","188.0","0","141","1,015","240","960","89","40","190","118","9","0","0","49"
"*0017e*","Chris Paul","LAC","G,Flx","11","FA","ATL Mon 10:30PM","4625","66.07","46%","-5.4%","70","440.0","102","12","1,149","25","312","622","99","19","156","10","0","1","25"
"*03xmv*","Jayson Tatum","BOS","F,Flx","12","FA","","4558","71.22","66%","-0.8%","64","713.0","187","45","1,692","50","472","276","75","31","171","5","0","1","15"
"*04qrk*","Trae Young","ATL","G,Flx","13","9/11ST","@LAC Mon 10:30PM","4514","71.65","99%","-0.6%","63","625.0","136","62","1,594","38","245","594","53","12","261","6","0","0","28"
