"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*01eo6*","James Harden","LAC","G,Flx","1","ASS","ATL Mon 10:30PM","7888","101.13","100%","0%","78","1066.0","378","104","2,818","66","518","586","158","58","387","8","0","7","34"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","2","HAIRY","@DAL Mon 8:30PM","6781","94.18","100%","0%","72","526.0","52","186","1,994","159","898","424","92","110","268","4","0","5","54"
"*03e75*","Nikola Jokic","DEN","C,Flx","3","PartyMar","","6418","80.22","100%","0%","80","590.0","83","63","1,604","228","865","580","108","55","248","9","3","12","56"
"*005kc*","Russell Westbrook","SAC","G,Flx","4","9/11FT","","6407","87.77","84%","+13%","73","843.0","119","155","1,675","109","807","784","142","33","325","16","0","34","57"
"*01uyj*","Paul George","PHI","F,Flx","5","Penta","","6390","82.99","95%","-0.4%","77","907.0","292","87","2,159","105","628","318","170","34","205","10","0","1","24"
"*03ad3*","Karl-Anthony Towns","NY","F,C,Flx","6","Penta","","6378","82.83","99%","0%","77","633.0","142","74","1,880","263","954","259","67","125","240","9","0","0","54"
"*027p0*","Nikola Vucevic","CHI","C,Flx","7","9/11ST","SA Mon 8:00PM","6033","75.41","100%","0%","80","653.0","84","48","1,665","224","960","307","81","89","159","4","0","1","60"
"*02nf9*","Andre Drummond","PHI","C,Flx","8","FA","","6025","76.27","31%","+4.9%","79","491.0","5","169","1,370","423","1,232","112","136","138","175","14","1","0","69"
"*02xg9*","Rudy Gobert","MIN","C,Flx","9","HAIRY","@UTA Mon 9:00PM","5874","72.52","98%","-0.3%","81","236.0","0","190","1,284","309","1,041","161","66","187","130","7","1","0","66"
"*02nf6*","Damian Lillard","POR","G,Flx","10","FA","@ORL Mon 7:00PM","5827","72.84","37%","-0.1%","80","852.0","237","45","2,067","68","371","551","88","34","212","4","0","0","13"
"*02nf3*","Bradley Beal","LAC","G,Flx","11","FA","ATL Mon 10:30PM","5804","70.78","78%","-5%","82","845.0","209","86","2,099","89","411","448","121","58","224","9","0","2","11"
"*001aw*","Kevin Durant","HOU","G,F,Flx","12","UBER","","5677","72.78","99%","+0.1%","78","662.0","137","58","2,027","33","497","457","58","84","225","15","1","2","16"
"*03lg1*","Ben Simmons","(N/A)","G,Flx","13","FA","","5553","70.29","11%","-1.3%","79","420.0","0","171","1,337","172","697","610","112","61","274","5","1","10","42"
