ID,Player,Team,Position,RkOv,Status,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*0622f*,Karlo Matkovic,NO,"F,C,Flx",288,FA,1349,32.12,42,100,21,10,325,64,209,46,22,41,43,0,0,0,4
*038ia*,Seth Curry,CHA,"G,Flx",289,FA,1329,19.54,68,179,83,6,444,24,113,60,27,7,32,0,0,0,0
*06227*,Ryan Rollins,MIL,"G,Flx",290,FA,1325,23.66,56,139,49,9,349,21,108,104,42,17,53,0,0,0,1
*06cdf*,Julian Phillips,CHI,"F,Flx",291,FA,1324,16.76,79,159,50,16,366,67,169,39,38,20,27,0,0,0,0
*06ca7*,Cam Whitmore,WAS,"F,Flx",292,FA,1322,25.92,51,224,65,18,477,36,151,49,31,13,46,0,0,0,2
*05uj1*,Cameron Thomas,BKN,"G,F,Flx",293,FA,1303,52.12,25,255,68,18,599,15,83,94,15,2,62,2,0,0,1
*049ka*,Lonzo Ball,CLE,"G,Flx",294,FA,1290,36.86,35,154,67,5,267,25,118,115,47,17,41,1,0,0,0
*05uuv*,Trendon Watford,PHI,"F,Flx",295,FA,1288,29.27,44,186,29,29,450,37,160,115,27,12,83,6,1,0,1
*06mlm*,Oso Ighodaro,PHO,"F,C,Flx",296,FA,1270,20.82,61,74,0,21,255,66,222,71,28,29,39,0,0,0,0
*06ccg*,Marcus Sasser,DET,"G,Flx",297,FA,1269,22.26,57,159,58,8,375,18,69,133,37,4,54,1,1,0,1
*05qsk*,Isaac Okoro,CHI,"G,F,Flx",298,FA,1266,23.02,55,143,56,13,337,49,130,68,32,16,23,0,0,0,0
*0621h*,Dalen Terry,CHI,"G,F,Flx",299,FA,1236,16.93,73,148,37,20,326,38,124,97,44,15,53,1,0,0,0
*03al2*,Joel Embiid,PHI,"C,Flx",300,FA,1234,64.95,19,175,23,20,452,36,155,85,14,18,62,3,1,1,7
*06ccd*,Noah Clowney,BKN,"F,C,Flx",301,FA,1223,26.59,46,239,87,13,420,43,181,40,24,21,46,4,2,0,0
*027ov*,Alec Burks,MIA,"G,Flx",302,FA,1219,24.88,49,156,88,11,356,15,124,55,28,7,29,0,0,0,0
*005l3*,DeAndre Jordan,DEN,"C,Flx",303,FA,1218,21.75,56,49,0,37,209,84,284,53,16,27,40,2,0,0,3
*0622k*,Jabari Walker,PHI,"F,C,Flx",304,FA,1210,20.17,60,111,28,22,313,59,211,37,33,6,34,1,0,0,1
