"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*04ewe*","Donovan Mitchell","CLE","G,Flx","PRO","Active","","1313","65.65","100%","0%","10.4","3.7","0.8","24.6","0.6","4.8","4.0","1.5","0.3","2.0","0.00","0.00","0.0","2"
"*04ewu*","Josh Hart","NY","G,F,Flx","EE","Active","","1282","64.1","98%","0%","3.8","1.3","0.3","13.8","1.8","8.3","5.5","1.4","0.4","1.8","0.10","0.00","0.1","7"
"*042nm*","Pascal Siakam","IND","F,C,Flx","Fent","Active","","1278","60.86","99%","0%","6.9","1.8","0.7","20.8","1.8","6.4","4.0","0.8","0.2","1.5","0.05","0.00","0.0","2"
"*03nwm*","Devin Booker","PHO","G,F,Flx","Sar","Active","","1268","66.74","99%","-0.1%","10.1","2.6","0.7","24.7","1.2","3.5","6.6","1.0","0.4","2.1","0.11","0.00","0.0","3"
"*05uid*","Evan Mobley","CLE","F,C,Flx","J&J","Active","","1261","63.05","100%","0%","5.8","0.6","0.7","17.7","2.3","9.3","2.8","1.1","1.6","2.3","0.00","0.00","0.0","9"
"*051ol*","Darius Garland","CLE","G,Flx","420","Active","","1254","62.7","99%","-0.2%","7.7","3.0","0.1","20.8","0.6","2.5","6.9","1.1","0.3","2.4","0.10","0.00","0.0","3"
"*04ewm*","Jarrett Allen","CLE","C,Flx","ROMO","Reserve","","1229","58.52","100%","0%","2.5","0.0","1.0","14.2","2.3","10.7","1.6","0.9","1.0","1.0","0.00","0.00","0.0","14"
"*04kj6*","Luka Doncic","DAL","G,Flx","MylS","Active","","1223","81.53","100%","0%","12.5","3.3","1.5","28.6","0.5","7.6","8.0","1.7","0.3","3.3","0.27","0.00","0.0","5"
"*04ewt*","Derrick White","BOS","G,Flx","BabyOil","Active","MIA Mon 7:30PM","1216","64","100%","0%","7.0","3.8","0.3","18.3","1.2","4.7","4.4","0.8","1.1","1.4","0.00","0.00","0.0","0"
"*04qrj*","Jaren Jackson","MEM","F,C,Flx","TRUMP","Active","","1195","62.89","100%","0%","7.4","1.8","1.0","22.4","1.5","5.9","1.2","1.4","1.8","2.2","0.00","0.00","0.0","0"
"*051ot*","Tyler Herro","MIA","G,Flx","TRH","Active","@BOS Mon 7:30PM","1192","66.22","99%","0%","9.2","4.2","0.5","24.0","0.3","5.2","4.9","0.8","0.1","2.4","0.06","0.00","0.0","2"
"*02nf6*","Damian Lillard","MIL","G,Flx","BabyOil","Active","","1191","74.44","99%","0%","10.1","3.3","0.6","25.9","0.6","4.5","7.8","1.0","0.3","2.8","0.06","0.00","0.0","5"
"*04ewf*","Bam Adebayo","MIA","C,Flx","PRO","Active","@BOS Mon 7:30PM","1166","64.78","100%","0%","7.9","0.9","1.2","15.7","2.8","9.9","4.9","1.7","0.8","1.8","0.00","0.00","0.1","10"
"*051or*","Cameron Johnson","BKN","F,Flx","PRO","Active","@CHI Mon 8:00PM","1160","55.24","97%","0%","6.3","3.1","0.3","18.1","0.8","4.2","3.0","0.8","0.4","0.8","0.00","0.00","0.0","0"
"*04ewk*","John Collins","UTA","F,C,Flx","TRUMP","Active","","1134","59.68","99%","+0.1%","6.0","1.1","0.3","17.9","2.6","8.8","2.5","1.3","0.8","2.5","0.05","0.00","0.0","7"
"*04848*","Fred VanVleet","HOU","G,Flx","420","Active","","1131","56.55","99%","0%","8.6","2.5","0.5","16.3","0.6","4.3","6.2","1.6","0.4","1.3","0.05","0.05","0.0","3"
"*051oj*","RJ Barrett","TOR","G,F,Flx","J&J","Active","","1130","62.78","99%","-0.1%","10.3","2.1","1.9","23.7","0.9","6.3","6.2","0.8","0.3","3.4","0.06","0.00","0.1","4"
"*051on*","Coby White","CHI","G,Flx","DBD","Active","BKN Mon 8:00PM","1125","53.57","100%","-0.1%","7.9","3.3","0.4","18.3","0.3","3.7","4.5","1.1","0.2","2.5","0.00","0.00","0.0","0"
"*01enh*","Stephen Curry","GS","G,Flx","TRUMP","Reserve","","1110","74","99%","-0.1%","8.5","4.2","0.2","22.5","0.5","5.5","6.3","1.5","0.5","3.3","0.00","0.00","0.0","1"
"*0017e*","Chris Paul","SA","G,Flx","Sar","Active","","1101","55.05","97%","+0.1%","4.3","1.9","0.0","10.7","0.3","3.5","8.3","1.4","0.3","1.8","0.00","0.00","0.0","8"
"*03ajv*","Julius Randle","MIN","F,Flx","Tribunal","Active","LAL Mon 8:00PM","1092","57.47","100%","-0.1%","7.2","1.6","1.2","21.2","1.8","6.9","4.1","0.7","0.1","2.9","0.00","0.00","0.0","3"
"*031m4*","Dennis Schroder","BKN","G,Flx","15","Active","@CHI Mon 8:00PM","1075","56.58","96%","-0.2%","7.9","2.7","0.4","18.7","0.2","3.1","6.4","1.2","0.2","2.6","0.00","0.00","0.0","2"
"*03ams*","Zach LaVine","CHI","G,F,Flx","DBD","Active","BKN Mon 8:00PM","1064","59.11","98%","0%","7.7","3.2","0.6","22.0","0.2","4.5","4.1","0.8","0.3","2.7","0.00","0.00","0.0","1"
"*04ewn*","OG Anunoby","NY","G,F,Flx","15","Reserve","","1059","52.95","99%","+0.1%","6.9","2.1","0.5","17.4","1.1","5.2","2.0","1.4","0.9","1.3","0.05","0.00","0.0","0"
"*06215*","Bennedict Mathurin","IND","G,F,Flx","420","Reserve","","1042","49.62","91%","+0.2%","6.3","1.8","0.9","18.5","1.2","6.8","1.9","0.7","0.2","2.0","0.00","0.00","0.0","5"
"*06214*","Jaden Ivey","DET","G,Flx","EE","Reserve","","1038","49.43","97%","0%","8.0","2.0","1.2","18.4","1.4","4.3","4.3","1.0","0.4","3.0","0.00","0.00","0.0","0"
"*05uig*","Josh Giddey","CHI","G,F,Flx","15","Active","BKN Mon 8:00PM","1037","49.38","100%","-0.1%","5.6","1.2","0.7","11.7","1.3","6.0","6.7","0.8","0.4","2.4","0.05","0.00","0.0","3"
"*04qrr*","Michael Porter","DEN","F,Flx","15","Active","","1034","57.44","98%","0%","7.2","2.6","0.8","18.6","1.6","7.2","2.8","0.8","0.3","1.1","0.00","0.00","0.0","3"
"*05uj4*","Santi Aldama","MEM","F,C,Flx","Sar","Active","","1030","49.05","82%","+0.2%","5.3","1.5","0.2","13.0","1.7","7.4","3.4","0.8","0.4","1.4","0.10","0.00","0.0","6"
"*05uif*","Jalen Suggs","ORL","G,Flx","TRH","Active","","1029","49","99%","-0.1%","7.3","2.1","0.2","15.2","0.6","4.2","4.0","1.3","1.0","2.8","0.05","0.00","0.0","0"
"*02xg9*","Rudy Gobert","MIN","C,Flx","ROMO","Active","LAL Mon 8:00PM","1016","53.47","98%","-0.4%","2.2","0.0","0.7","10.4","3.4","11.2","1.9","0.4","1.6","1.7","0.05","0.00","0.0","8"
"*05qt1*","Payton Pritchard","BOS","G,Flx","PRO","Active","MIA Mon 7:30PM","1013","50.65","77%","-0.7%","5.7","3.6","0.3","16.0","0.9","3.0","2.9","1.1","0.1","0.9","0.00","0.00","0.0","0"
"*005ki*","Brook Lopez","MIL","C,Flx","Sar","Active","","1009","53.11","98%","+0.1%","5.1","2.1","0.4","12.6","1.2","4.9","1.8","1.3","2.4","1.2","0.00","0.00","0.0","1"
"*03ad2*","Myles Turner","IND","C,Flx","Tribunal","Active","","1004","52.84","100%","0%","6.5","2.0","0.9","15.7","1.4","7.4","1.4","0.8","1.9","2.6","0.00","0.00","0.0","3"
"*06217*","Dyson Daniels","ATL","G,Flx","J&J","Active","NO Mon 7:30PM","992","52.21","95%","-0.1%","7.3","1.2","0.6","13.5","1.6","5.1","3.1","3.0","0.9","1.8","0.05","0.00","0.0","1"
"*06ca8*","Amen Thompson","HOU","G,F,Flx","BabyOil","Active","","972","46.29","97%","+0.5%","3.4","0.3","1.1","11.8","2.2","7.0","2.0","1.2","1.0","1.7","0.00","0.00","0.0","5"
"*0621g*","Tari Eason","HOU","F,Flx","J&J","Active","","967","46.05","92%","+0.1%","4.7","0.9","0.4","11.1","2.1","6.2","1.1","2.0","1.1","0.9","0.10","0.00","0.0","1"
"*042n1*","Brandon Ingram","NO","G,F,Flx","EE","Inj Res","@ATL Mon 7:30PM","961","60.06","99%","-0.1%","10.4","2.4","0.5","22.9","1.0","5.8","5.4","0.8","0.6","3.9","0.00","0.00","0.0","0"
"*051pi*","Daniel Gafford","DAL","F,C,Flx","PRO","Reserve","","959","47.95","95%","-0.2%","2.0","0.0","0.9","12.7","2.9","6.8","1.4","0.6","1.2","0.9","0.00","0.00","0.0","2"
"*03ad0*","Tyus Jones","PHO","G,Flx","DBD","Active","","959","50.47","94%","+0.5%","5.1","2.1","0.2","11.5","0.7","2.7","7.2","1.1","0.1","1.1","0.00","0.00","0.0","3"
"*0623a*","Scotty Pippen","MEM","G,Flx","BabyOil","Active","","952","45.33","76%","-2.1%","4.7","1.1","0.6","11.6","0.7","3.8","5.5","1.1","0.4","2.0","0.05","0.00","0.0","5"
"*03e6s*","Clint Capela","ATL","C,Flx","PRO","Active","NO Mon 7:30PM","948","45.14","92%","+0.3%","3.2","0.0","1.0","10.7","3.4","8.8","1.3","0.6","1.0","0.8","0.00","0.00","0.0","5"
"*027p4*","Tobias Harris","DET","F,Flx","J&J","Inj Res","","945","45","98%","-0.4%","6.6","1.3","0.4","13.4","1.0","7.0","2.4","0.7","0.9","1.3","0.00","0.00","0.0","2"
"*0621c*","Jalen Duren","DET","C,Flx","BabyOil","Active","","940","47","99%","-0.4%","1.6","0.0","1.3","8.8","3.1","9.6","2.5","0.3","1.3","1.9","0.00","0.00","0.0","8"
"*01eon*","DeMar DeRozan","SAC","G,F,Flx","420","Active","","938","58.62","100%","0%","8.4","0.6","1.1","22.9","0.6","4.2","4.4","1.6","0.6","1.8","0.06","0.00","0.0","0"
"*05uus*","Austin Reaves","LAL","G,F,Flx","Fent","Active","@MIN Mon 8:00PM","935","49.21","100%","-0.1%","7.4","2.6","0.7","16.7","0.8","3.5","4.8","1.1","0.2","2.3","0.11","0.00","0.0","0"
"*03lls*","Jaylen Brown","BOS","G,F,Flx","420","Active","MIA Mon 7:30PM","935","62.33","99%","-0.2%","11.1","2.6","1.6","24.7","1.4","6.3","4.3","1.1","0.4","2.5","0.07","0.00","0.0","3"
"*06cca*","Brandon Miller","CHA","F,Flx","TRUMP","Active","","928","58","100%","+0.1%","11.1","3.8","0.2","20.6","1.1","5.3","3.7","1.4","0.8","2.9","0.06","0.00","0.0","2"
"*05qtj*","Deni Avdija","POR","F,Flx","PRO","Active","","926","44.1","93%","+4.2%","5.6","1.2","0.8","11.9","1.2","6.1","3.2","1.1","0.9","2.1","0.00","0.00","0.0","2"
"*04qrn*","Mikal Bridges","NY","G,F,Flx","420","Reserve","","923","46.15","99%","-0.1%","7.8","2.3","0.3","16.3","1.1","3.8","3.1","1.0","0.6","1.5","0.00","0.00","0.0","0"
"*0621d*","Ochai Agbaji","TOR","G,F,Flx","15","Reserve","","922","43.9","62%","-9.4%","4.1","1.9","0.3","12.0","1.0","4.5","2.1","1.0","0.6","1.0","0.00","0.00","0.0","0"
"*051p8*","Jordan Poole","WAS","G,Flx","DBD","Reserve","","919","57.44","99%","-0.1%","8.6","3.2","0.5","21.0","0.3","2.3","4.9","1.9","0.5","3.4","0.13","0.00","0.0","0"
