PlayerName,Position,MarketValue,PPS
Paul George,"G,F,Flx",29.0,34.910924637681156
Harrison Barnes,"F,Flx",1.0,34.81994202898551
Draymond Green,"F,C,Flx",5.0,34.80667826086956
Clint Capela,"C,Flx",3.0,34.5009652173913
Mike Conley,"G,Flx",2.0,34.201513043478265
Spencer Dinwiddie,"G,Flx",1.0,34.096799999999995
Keldon Johnson,"G,F,Flx",2.0,33.65846956521739
Kyle Kuzma,"F,Flx",5.0,33.581634782608695
Donte DiVincenzo,"G,F,Flx",3.0,33.19866666666667
Brandon Ingram,"G,F,Flx",14.0,33.094853623188406
Ja Morant,"G,Flx",34.0,33.09397826086956
Jalen Duren,"C,Flx",6.0,32.903869565217384
Cameron Thomas,"G,F,Flx",4.0,32.851727536231884
Al Horford,"F,C,Flx",7.0,32.234865217391295
Victor Wembanyama,"F,C,Flx",42.0,32.10147246376811
Caris LeVert,"G,F,Flx",1.0,32.04401159420289
Dyson Daniels,"G,F,Flx",1.0,31.27057391304347
Jonathan Kuminga,"F,C,Flx",1.0,31.232862318840574
Grayson Allen,"G,F,Flx",1.0,31.15323913043478
Klay Thompson,"G,F,Flx",3.0,30.938608695652174
Keegan Murray,"F,Flx",3.0,30.915744927536227
Bradley Beal,"G,F,Flx",15.0,30.2684652173913
Jalen Suggs,"G,Flx",1.0,29.911988405797096
Jusuf Nurkic,"C,Flx",5.0,29.620085507246376
Jerami Grant,"F,Flx",2.0,29.109437681159424
Herbert Jones,"F,Flx",0.0,28.93555072463768
Wendell Carter,"F,C,Flx",1.0,28.494182608695645
Terry Rozier,"G,Flx",7.0,28.165930434782602
Collin Sexton,"G,Flx",3.0,27.966608695652173
Gary Trent,"G,F,Flx",1.0,27.85240869565217
Kentavious Caldwell-Pope,"G,F,Flx",0.0,27.60166956521739
Rui Hachimura,"F,Flx",0.0,27.566855072463767
Kawhi Leonard,"G,F,Flx",33.0,27.185113043478257
Andre Drummond,"C,Flx",0.0,27.06647246376811
Zion Williamson,"F,C,Flx",32.0,26.942197101449278
Duncan Robinson,"G,F,Flx",0.0,26.037913043478255
Tre Jones,"G,Flx",0.0,26.02685217391304
T.J. McConnell,"G,Flx",0.0,25.942381159420286
Bogdan Bogdanovic,"G,F,Flx",4.0,25.703260869565216
Bennedict Mathurin,"G,F,Flx",0.0,25.499223188405793
Chris Boucher,"F,C,Flx",0.0,25.31652608695652
Kelly Olynyk,"F,C,Flx",1.0,25.07597391304347
Alex Caruso,"G,Flx",3.0,24.832881159420285
Jaden Ivey,"G,Flx",1.0,24.751434782608698
Jabari Smith,"F,C,Flx",5.0,24.476875362318843
Khris Middleton,"F,Flx",12.0,24.442681159420292
Isaiah Stewart,"C,Flx",0.0,24.305528985507237
Mason Plumlee,"C,Flx",0.0,23.915685507246376
Jeremy Sochan,"F,Flx",0.0,23.805866666666663
Jalen Smith,"F,C,Flx",1.0,23.547121739130436
Shaedon Sharpe,"G,F,Flx",0.0,23.521124637681158
Precious Achiuwa,"F,C,Flx",0.0,22.81041304347826
Amen Thompson,"G,F,Flx",1.0,21.70870434782608
Kyle Anderson,"F,Flx",0.0,21.264742028985506
Malcolm Brogdon,"G,Flx",2.0,20.850199999999997
Brandon Clarke,"F,C,Flx",0.0,19.927826086956518
Alec Burks,"G,Flx",0.0,18.94062318840579
Keyonte George,"G,Flx",1.0,18.920255072463764
Marcus Smart,"G,Flx",0.0,18.65591884057971
Mark Williams,"C,Flx",1.0,18.44602608695652
