ID,Player,Team,Position,Status,Opponent,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*055sg*,DaQuan Jeffries,CHA,"G,Flx",FA,,33,1.94,17,11,2,2,14,0,5,5,0,1,3,0,0,0,0
*06ccw*,Jordan Miller,LAC,"F,Flx",FA,,32,4,8,4,1,0,13,3,5,0,0,0,1,0,0,0,0
*05qzf*,Jordan Ford,(N/A),"G,Flx",FA,,32,5.33,6,3,2,0,12,0,2,2,0,0,1,0,0,0,0
*05qy1*,Mason Jones,SAC,"G,Flx",FA,,29,5.8,5,6,2,1,7,1,5,5,1,0,2,1,0,0,0
*05uix*,Usman Garuba,(N/A),"F,Flx",FA,,29,4.83,6,5,0,1,3,3,7,1,1,3,2,0,0,0,0
*06224*,E.J. Liddell,CHI,"F,Flx",FA,,27,3.38,8,5,0,0,4,0,5,1,2,2,2,0,0,0,0
*0633h*,Pat Spencer,GS,"G,Flx",FA,,27,4.5,6,2,0,0,4,2,4,5,0,0,1,0,0,0,0
*043un*,Ryan Arcidiacono,(N/A),"G,Flx",FA,,24,1.2,20,6,0,0,0,0,8,4,2,0,2,0,0,0,0
*06cd0*,Seth Lundy,LAC,"F,Flx",FA,,23,2.56,9,13,3,1,14,1,7,0,0,0,1,0,0,0,0
*064tp*,Quenton Jackson,IND,"G,Flx",FA,,22,7.33,3,1,0,0,2,0,4,2,1,0,0,0,0,0,0
*049sa*,Hamidou Diallo,(N/A),"G,Flx",FA,,21,10.5,2,1,0,0,2,2,2,1,2,0,1,0,0,0,0
*06cer*,Markquis Nowell,(N/A),"G,Flx",FA,,20,20,1,1,0,0,2,2,2,2,1,0,0,0,0,0,0
*04416*,Frank Ntilikina,(N/A),"G,Flx",FA,,20,4,5,8,1,0,5,1,6,4,0,0,1,0,0,0,0
*06ccc*,Dariq Whitehead,BKN,"F,Flx",FA,,18,9,2,4,0,1,3,0,4,3,0,1,0,0,0,0,0
*051p4*,Ty Jerome,MEM,"G,F,Flx",ROMO,,14,7,2,2,0,0,4,1,1,3,0,0,1,0,0,0,0
*06cdg*,Maxwell Lewis,BKN,"F,Flx",FA,,14,0.41,34,17,1,1,11,2,4,6,2,1,10,0,0,0,0
*059cd*,Charlie Brown,(N/A),"G,Flx",FA,,11,1.38,8,8,2,0,6,1,2,0,0,2,2,0,0,0,0
*05qzd*,Kevon Harris,HOU,"G,Flx",FA,,11,5.5,2,1,0,0,4,0,2,1,0,0,1,0,0,0,0
*048zs*,Shaquille Harrison,(N/A),"G,Flx",FA,,10,3.33,3,1,0,0,2,0,2,0,0,1,0,0,0,0,0
*06hrn*,Adam Flagler,OKC,"G,Flx",FA,,9,4.5,2,6,1,0,3,0,0,4,0,0,0,0,0,0,0
*06gno*,Pete Nance,MIL,"F,Flx",FA,,7,0.88,8,5,1,2,3,0,3,0,1,0,1,0,0,0,0
*064s9*,Izaiah Brockington,(N/A),"G,Flx",FA,,7,7,1,3,0,0,4,1,2,0,0,0,0,0,0,0,0
*05ujo*,Filip Petrusev,(N/A),"F,C,Flx",FA,,5,1.67,3,1,0,1,3,0,1,0,0,0,0,0,0,0,0
*0590m*,Lindell Wigginton,(N/A),"G,Flx",FA,,4,1.33,3,3,0,0,6,0,0,0,0,0,1,0,0,0,0
*06233*,Ron Harper,DET,"F,Flx",FA,,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
*06hdv*,Andrew Funk,(N/A),"G,Flx",FA,,2,0.4,5,4,0,0,0,0,0,0,1,1,0,0,0,0,0
*06mju*,Alex Sarr,WAS,"F,C,Flx",TRUMP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mjw*,Stephon Castle,SA,"G,Flx",PRO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mk1*,Zach Edey,MEM,"C,Flx",MylS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mjz*,Donovan Clingan,POR,"C,Flx",MylS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v5l*,Cooper Flagg,DAL,"G,F,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mk3*,Matas Buzelis,CHI,"F,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mk7*,Kelel Ware,MIA,"C,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mk6*,Carlton Carrington,WAS,"G,Flx",DBD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mle*,Kyle Filipowski,UTA,"F,C,Flx",MylS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mkd*,Yves Missi,NO,"C,Flx",TRH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mjt*,Zaccharie Risacher,ATL,"F,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mkl*,Isaiah Collier,UTA,"G,Flx",EE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v5y*,Dylan Harper,SA,"G,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v5k*,VJ Edgecombe,PHI,"G,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v57*,Ace Bailey,UTA,"G,F,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v5n*,Kon Knueppel,CHA,"G,F,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*051pa*,Kevin Porter,MIL,"G,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mkg*,Kyshawn George,WAS,"G,F,Flx",BabyOil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mk8*,Jared McCain,PHI,"G,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v5r*,Egor Demin,BKN,"G,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mll*,Jaylen Wells,MEM,"G,F,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v5e*,Yang Hansen,POR,"C,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v58*,Tre Johnson,WAS,"G,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v5f*,Khaman Maluach,PHO,"C,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06mjv*,Reed Sheppard,HOU,"G,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v5h*,Derik Queen,NO,"C,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*06v80*,Ryan Kalkbrenner,CHA,"C,Flx",FA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
