"ID","Player","Team","Position","RkOv","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*027p0*","Nikola Vucevic","CHI","C,Flx","26","TRUMP","Inj Res","@ORL Thu 7:00PM","3712","66.29","100%","-0.1%","6.8","1.8","0.4","19.1","2.3","10.3","3.4","0.9","0.7","1.7","0.11","0.00","0.0","36"
"*04qrj*","Jaren Jackson","MEM","F,C,Flx","27","J&J","Inj Res","","3700","62.71","100%","-0.3%","8.3","1.9","1.3","22.7","1.3","5.8","2.1","1.3","1.6","2.2","0.02","0.00","0.0","4"
"*05uid*","Evan Mobley","CLE","F,C,Flx","28","J&J","Active","","3654","66.44","100%","0%","5.4","1.1","1.1","18.6","2.3","9.3","3.1","0.8","1.6","2.0","0.00","0.00","0.0","28"
"*02nf1*","Anthony Davis","DAL","F,C,Flx","29","Tribunal","Inj Res","","3638","84.6","99%","-0.5%","8.5","0.7","1.6","25.7","2.9","12.0","3.4","1.3","2.2","2.2","0.02","0.00","0.0","33"
"*042nm*","Pascal Siakam","IND","F,C,Flx","30","Sar","Active","@ATL Thu 7:30PM","3636","60.6","99%","0%","7.3","1.7","1.1","20.6","1.7","7.2","3.3","0.9","0.5","1.3","0.03","0.00","0.0","9"
"*05qsq*","Tyrese Maxey","PHI","G,Flx","31","Sar","Reserve","@BOS Thu 7:30PM","3604","69.31","100%","0%","11.8","3.1","0.7","26.3","0.3","3.3","6.1","1.8","0.4","2.4","0.00","0.00","0.0","8"
"*001aw*","Kevin Durant","PHO","F,Flx","32","BabyOil","Active","","3558","72.61","99%","+0.1%","8.8","2.4","1.0","26.9","0.4","6.0","4.2","0.9","1.3","3.0","0.04","0.00","0.0","5"
"*04ewm*","Jarrett Allen","CLE","C,Flx","33","ROMO","Active","","3545","57.18","100%","+0.1%","2.3","0.0","0.8","13.4","2.7","10.3","2.0","0.9","0.9","1.2","0.00","0.02","0.0","34"
"*051ol*","Darius Garland","CLE","G,Flx","34","J&J","Active","","3541","61.05","99%","0%","8.1","2.9","0.4","21.0","0.6","2.6","6.8","1.1","0.2","2.4","0.10","0.00","0.0","6"
"*042n4*","Jamal Murray","DEN","G,Flx","35","15","Active","","3478","63.24","99%","+0.1%","8.8","2.4","0.5","21.4","0.6","3.8","6.1","1.4","0.5","2.2","0.04","0.02","0.0","5"
"*04ewt*","Derrick White","BOS","G,Flx","36","BabyOil","Active","PHI Thu 7:30PM","3455","58.56","100%","0%","7.0","3.6","0.3","16.7","0.9","4.3","4.2","0.9","1.0","1.6","0.02","0.00","0.0","2"
"*03ams*","Zach LaVine","SAC","G,F,Flx","37","420","Active","","3365","62.31","99%","+0.1%","8.2","3.2","0.8","23.6","0.3","4.6","4.4","0.9","0.2","2.8","0.00","0.00","0.0","4"
"*06ca8*","Amen Thompson","HOU","G,F,Flx","38","BabyOil","Active","@NO Thu 8:00PM","3346","57.69","99%","0%","4.5","0.3","1.1","13.9","2.7","8.3","3.5","1.4","1.3","2.1","0.03","0.03","0.1","17"
"*027oj*","Kyrie Irving","DAL","G,Flx","39","Fent","Active","","3342","66.84","88%","-11.6%","10.0","2.9","0.4","24.7","1.2","4.8","4.6","1.3","0.5","2.2","0.00","0.00","0.0","0"
"*05uig*","Josh Giddey","CHI","G,F,Flx","40","15","Active","@ORL Thu 7:00PM","3328","58.39","100%","0%","5.8","1.5","0.6","13.2","1.7","7.5","6.6","1.1","0.6","2.7","0.09","0.00","0.0","20"
"*0621c*","Jalen Duren","DET","C,Flx","41","BabyOil","Active","","3295","54.92","99%","0%","1.9","0.0","0.9","11.2","3.5","10.2","2.6","0.8","1.2","1.9","0.05","0.00","0.0","29"
"*06217*","Dyson Daniels","ATL","G,F,Flx","42","TRUMP","Active","IND Thu 7:30PM","3281","57.56","96%","0%","6.4","1.1","0.8","14.0","1.6","5.6","4.1","3.0","0.8","1.9","0.04","0.00","0.0","6"
"*04qrr*","Michael Porter","DEN","F,Flx","43","15","Active","","3245","55","99%","0%","6.8","2.6","0.6","18.4","1.9","6.9","2.1","0.6","0.4","1.3","0.00","0.00","0.0","11"
"*05uie*","Scottie Barnes","TOR","G,F,Flx","44","J&J","Active","","3169","66.02","100%","0%","9.1","1.3","1.0","19.8","1.6","7.8","6.1","1.5","1.1","2.9","0.10","0.00","0.0","19"
"*03lls*","Jaylen Brown","BOS","G,F,Flx","45","420","Active","PHI Thu 7:30PM","3110","59.81","99%","+0.1%","10.0","1.9","1.3","23.1","1.5","6.1","4.8","1.2","0.3","2.7","0.10","0.00","0.0","5"
"*05uus*","Austin Reaves","LAL","G,F,Flx","46","PRO","Active","NY Thu 10:00PM","3106","58.6","100%","0%","7.5","2.5","0.7","19.1","0.8","4.2","6.0","1.1","0.3","2.4","0.11","0.02","0.0","7"
"*05qt1*","Payton Pritchard","BOS","G,Flx","47","PRO","Active","PHI Thu 7:30PM","3053","50.05","81%","-0.6%","5.5","3.3","0.2","14.4","1.3","3.8","3.5","0.8","0.2","1.0","0.00","0.00","0.0","4"
"*0527h*","Naz Reid","MIN","F,C,Flx","48","Fent","Active","","3051","48.43","99%","0%","6.3","2.3","0.4","14.8","1.2","6.2","2.2","0.8","0.9","1.3","0.10","0.00","0.0","10"
"*05qt3*","Desmond Bane","MEM","G,F,Flx","49","420","Active","","3024","60.48","100%","0%","7.2","2.2","0.4","18.5","1.0","6.0","5.4","1.2","0.4","2.6","0.08","0.00","0.0","8"
"*05uic*","Jalen Green","HOU","G,Flx","50","Tribunal","Active","@NO Thu 8:00PM","3020","48.71","100%","0%","10.1","2.9","0.7","21.4","0.5","4.4","3.1","0.8","0.3","2.6","0.10","0.02","0.0","2"
"*0017e*","Chris Paul","SA","G,Flx","51","Sar","Active","","3000","50","96%","-0.5%","4.2","1.7","0.1","9.0","0.5","3.7","7.9","1.3","0.2","1.5","0.10","0.02","0.0","12"
"*01eon*","DeMar DeRozan","SAC","G,F,Flx","52","DBD","Active","","2999","53.55","100%","-0.2%","8.6","1.1","0.7","22.2","0.6","3.9","3.9","1.0","0.4","1.4","0.07","0.00","0.0","0"
"*02xg9*","Rudy Gobert","MIN","C,Flx","54","PRO","Active","","2971","54.02","97%","-0.2%","2.3","0.0","1.1","11.0","3.5","10.4","1.8","0.7","1.5","1.4","0.07","0.00","0.0","25"
"*0621k*","Christian Braun","DEN","G,F,Flx","53","MylS","Active","","2971","48.7","88%","+0.3%","4.4","1.0","0.5","15.1","1.3","5.1","2.3","1.1","0.5","1.0","0.02","0.00","0.0","4"
"*04qs1*","Anfernee Simons","POR","G,Flx","55","15","Active","","2962","50.2","99%","+0.1%","9.0","3.1","0.3","19.2","0.3","2.7","5.0","0.8","0.1","2.1","0.02","0.00","0.0","2"
"*0621l*","Walker Kessler","UTA","C,Flx","56","Tribunal","Active","","2958","62.94","98%","0%","1.9","0.0","1.2","11.5","4.5","12.1","1.6","0.6","2.3","1.5","0.04","0.00","0.0","24"
"*05qu0*","Jaden McDaniels","MIN","F,Flx","57","TRH","Active","","2936","45.88","89%","+0.5%","5.4","1.3","0.3","12.5","1.6","5.9","2.0","1.5","0.9","1.2","0.05","0.02","0.0","9"
"*051oj*","RJ Barrett","TOR","G,F,Flx","58","ROMO","Active","","2930","59.8","99%","-0.1%","8.9","1.9","1.9","21.7","1.0","6.4","5.7","0.8","0.3","3.0","0.08","0.00","0.0","9"
"*04qrn*","Mikal Bridges","NY","G,F,Flx","59","DBD","Active","@LAL Thu 10:00PM","2922","47.9","99%","0%","7.5","2.2","0.3","17.4","0.9","3.1","3.4","0.9","0.6","1.5","0.00","0.00","0.0","1"
"*042n6*","Jakob Poeltl","TOR","C,Flx","60","15","Active","","2894","59.06","98%","-0.1%","3.9","0.0","0.9","14.1","3.4","9.8","2.8","1.2","1.2","1.9","0.02","0.00","0.0","20"
"*05uir*","Trey Murphy","NO","F,Flx","61","420","Active","HOU Thu 8:00PM","2877","62.54","99%","+0.1%","8.8","3.2","0.5","21.7","0.9","5.2","3.8","1.2","0.7","1.9","0.07","0.00","0.0","2"
"*005ki*","Brook Lopez","MIL","C,Flx","62","Fent","Active","","2867","47.78","97%","0%","5.1","1.8","0.3","12.5","1.3","5.0","1.8","0.7","1.9","0.9","0.00","0.00","0.0","2"
"*051p8*","Jordan Poole","WAS","G,Flx","63","DBD","Active","","2866","56.2","99%","0%","9.5","3.5","0.5","21.0","0.5","3.3","4.8","1.4","0.5","3.3","0.12","0.00","0.0","1"
"*05qtj*","Deni Avdija","POR","G,F,Flx","64","PRO","Reserve","","2858","48.44","97%","0%","5.7","1.4","1.1","14.8","1.3","6.4","3.5","0.9","0.5","2.4","0.02","0.00","0.0","9"
"*03ad2*","Myles Turner","IND","C,Flx","65","420","Active","@ATL Thu 7:30PM","2841","53.6","100%","0%","6.1","2.2","0.7","15.5","1.2","6.5","1.6","0.8","1.9","1.8","0.04","0.00","0.0","10"
"*03ajv*","Julius Randle","MIN","F,C,Flx","66","Tribunal","Active","","2840","55.69","99%","0%","7.4","1.5","0.9","18.9","2.2","7.2","4.5","0.7","0.2","2.8","0.00","0.00","0.0","10"
"*051on*","Coby White","CHI","G,Flx","67","DBD","Active","@ORL Thu 7:00PM","2818","51.24","99%","0%","8.3","3.0","0.3","18.4","0.3","3.4","4.6","1.0","0.2","2.3","0.00","0.00","0.0","1"
"*049kc*","Malik Monk","SAC","G,F,Flx","68","EE","Inj Res","","2798","53.81","96%","-0.1%","8.3","2.2","0.3","17.6","0.4","3.8","5.9","1.0","0.6","2.3","0.08","0.00","0.0","4"
"*005kc*","Russell Westbrook","DEN","G,Flx","69","Fent","Active","","2792","50.76","90%","-0.9%","5.7","1.2","1.1","12.9","1.4","5.0","6.1","1.4","0.5","3.1","0.05","0.00","0.1","9"
"*04ewn*","OG Anunoby","NY","G,F,Flx","70","15","Active","@LAL Thu 10:00PM","2786","50.65","98%","+0.2%","6.7","2.2","0.5","16.4","1.3","4.7","2.1","1.4","0.9","1.3","0.02","0.00","0.0","1"
"*05uii*","Franz Wagner","ORL","G,F,Flx","72","MylS","Active","CHI Thu 7:00PM","2759","64.16","100%","-0.1%","10.4","1.9","0.8","25.0","1.0","5.6","4.7","1.3","0.4","2.3","0.02","0.00","0.0","3"
"*05qtt*","Onyeka Okongwu","ATL","C,Flx","71","Fent","Active","IND Thu 7:30PM","2759","50.16","96%","0%","3.7","0.5","0.8","12.5","2.9","8.2","2.2","0.8","0.9","1.1","0.04","0.00","0.0","16"
"*05qto*","LaMelo Ball","CHA","G,Flx","73","J&J","Active","","2713","69.56","100%","-0.1%","13.1","3.9","0.9","26.2","1.0","5.4","7.0","1.2","0.3","3.6","0.05","0.00","0.0","10"
"*06cd4*","Toumani Camara","POR","G,F,Flx","74","TRH","Active","","2705","44.34","76%","+0.3%","4.7","1.5","0.4","10.7","2.3","5.9","2.1","1.5","0.6","1.5","0.00","0.00","0.0","3"
"*042ne*","Malik Beasley","DET","G,F,Flx","75","BabyOil","Active","","2694","42.76","76%","0%","7.3","4.0","0.5","16.6","0.6","2.8","1.7","0.9","0.0","1.0","0.13","0.02","0.0","1"
"*04qrp*","Miles Bridges","CHA","F,Flx","76","Tribunal","Reserve","","2677","56.96","99%","0%","9.7","2.2","0.5","20.3","1.1","7.8","3.8","0.7","0.7","2.1","0.15","0.02","0.0","9"
"*03nwk*","Kelly Oubre Jr.","PHI","G,F,Flx","77","PRO","Active","@BOS Thu 7:30PM","2650","46.49","91%","-0.2%","6.5","1.2","0.7","15.1","1.6","6.2","1.8","1.5","0.5","1.4","0.04","0.00","0.0","10"
"*04kj6*","Luka Doncic","LAL","G,Flx","78","MylS","Active","NY Thu 10:00PM","2634","84.97","100%","0%","11.2","3.2","1.7","26.6","0.8","8.3","7.8","1.9","0.5","3.5","0.23","0.00","0.1","15"
"*027p4*","Tobias Harris","DET","F,Flx","79","Tribunal","Active","","2623","44.46","97%","-0.5%","5.9","1.3","0.3","13.8","0.9","5.9","2.3","0.9","0.8","1.1","0.07","0.00","0.0","4"
"*03r7z*","Norman Powell","LAC","G,F,Flx","80","Sar","Inj Res","","2619","56.93","94%","-0.7%","8.5","3.3","0.9","23.8","0.4","3.5","2.2","1.3","0.2","2.0","0.00","0.00","0.0","1"
"*06213*","Keegan Murray","SAC","F,Flx","81","TRH","Active","","2596","44.76","97%","+0.1%","5.9","1.9","0.2","12.2","2.0","6.8","1.4","0.8","0.9","0.9","0.00","0.00","0.0","11"
"*03ad0*","Tyus Jones","PHO","G,Flx","82","DBD","Active","","2583","42.34","82%","-3.3%","4.8","2.0","0.1","10.4","0.5","2.4","5.8","0.9","0.1","1.4","0.00","0.00","0.0","6"
"*031lx*","CJ McCollum","NO","G,Flx","83","420","Active","HOU Thu 8:00PM","2534","53.91","98%","-0.2%","9.9","3.1","0.9","21.7","0.7","3.7","3.9","0.7","0.5","1.8","0.06","0.00","0.0","0"
"*027oo*","Jonas Valanciunas","SAC","C,Flx","84","MylS","Active","","2502","41.7","94%","+1.3%","3.8","0.1","0.3","11.2","2.5","8.0","2.1","0.5","0.6","1.6","0.08","0.00","0.0","16"
"*05uj4*","Santi Aldama","MEM","F,C,Flx","87","Sar","Active","","2490","47.88","81%","-0.7%","5.3","1.8","0.4","12.8","1.6","6.7","2.8","0.8","0.6","1.0","0.08","0.00","0.0","10"
"*06cby*","Keyonte George","UTA","G,Flx","88","Fent","Active","","2449","48.02","95%","-0.1%","8.2","2.7","0.8","16.7","0.4","3.7","5.9","0.7","0.2","2.8","0.04","0.00","0.0","4"
"*051or*","Cameron Johnson","BKN","F,Flx","89","PRO","Active","GS Thu 7:30PM","2448","53.22","96%","+0.1%","6.9","3.0","0.4","18.8","0.8","4.1","3.0","0.9","0.5","1.7","0.02","0.00","0.0","1"
"*06mkd*","Yves Missi","NO","C,Flx","90","TRH","Reserve","HOU Thu 8:00PM","2435","41.27","72%","-0.9%","3.0","0.0","0.9","8.6","3.5","8.1","1.3","0.6","1.4","1.2","0.00","0.00","0.0","10"
"*06cc1*","Bilal Coulibaly","WAS","G,F,Flx","91","TRUMP","Active","","2421","42.47","88%","-1.3%","6.2","1.1","0.8","12.4","1.5","4.9","3.4","1.3","0.7","2.1","0.02","0.00","0.0","2"
"*04ex6*","Isaiah Hartenstein","OKC","C,Flx","92","15","Active","","2419","57.6","96%","-0.1%","3.6","0.0","0.7","10.9","3.0","11.3","4.0","0.8","1.1","1.7","0.00","0.00","0.0","22"
"*02ym0*","Andrew Wiggins","MIA","F,Flx","93","J&J","Inj Res","","2410","49.18","93%","-0.7%","7.8","2.1","1.0","17.6","1.6","4.6","2.5","1.0","0.8","1.5","0.00","0.00","0.0","3"
"*04848*","Fred VanVleet","HOU","G,Flx","94","Tribunal","Inj Res","@NO Thu 8:00PM","2406","52.3","97%","-0.6%","8.0","2.6","0.4","14.4","0.7","3.9","5.8","1.6","0.4","1.5","0.04","0.04","0.0","4"
"*051os*","P.J. Washington","DAL","F,Flx","95","TRH","Active","","2358","50.17","96%","-0.6%","6.6","1.6","0.8","14.0","1.6","8.1","2.3","1.2","1.1","1.9","0.04","0.02","0.0","13"
"*031m4*","Dennis Schroder","DET","G,Flx","96","15","Inj Res","","2348","41.19","78%","-1.6%","6.7","1.9","0.4","13.5","0.3","2.7","5.4","0.9","0.2","2.1","0.11","0.00","0.0","4"
"*06216*","Shaedon Sharpe","POR","G,F,Flx","97","Fent","Reserve","","2338","42.51","92%","+0.5%","8.0","2.0","0.6","17.7","0.8","4.0","2.6","0.8","0.3","1.8","0.02","0.00","0.0","1"
"*03xmt*","Guerschon Yabusele","PHI","F,C,Flx","98","BabyOil","Reserve","@BOS Thu 7:30PM","2305","40.44","65%","-0.3%","3.8","1.5","0.5","10.8","1.9","5.5","2.0","0.8","0.4","1.2","0.02","0.00","0.0","3"
"*06cdn*","Scoot Henderson","POR","G,Flx","99","420","Reserve","","2300","41.82","94%","-0.2%","5.7","1.6","0.7","12.5","0.7","3.0","5.3","1.2","0.2","2.6","0.00","0.00","0.0","2"
"*051p4*","Ty Jerome","CLE","G,Flx","100","ROMO","Active","","2293","39.53","64%","+3.3%","4.2","1.6","0.2","12.1","0.8","2.6","3.3","1.2","0.0","1.3","0.05","0.00","0.0","0"
"*051pb*","Nicolas Claxton","BKN","C,Flx","101","15","Reserve","GS Thu 7:30PM","2291","43.23","97%","-0.4%","3.8","0.0","1.1","10.2","2.2","7.4","2.1","0.9","1.5","1.2","0.08","0.06","0.0","11"
"*02nfz*","Draymond Green","GS","F,C,Flx","103","DBD","Active","@BKN Thu 7:30PM","2269","47.27","95%","+0.4%","4.2","1.1","0.8","9.0","1.1","6.1","5.8","1.3","1.0","2.4","0.25","0.02","0.0","5"
"*051oy*","Goga Bitadze","ORL","C,Flx","104","Fent","Active","CHI Thu 7:00PM","2257","43.4","51%","-9.9%","2.1","0.0","0.7","8.1","2.6","7.5","2.1","0.8","1.6","1.2","0.12","0.02","0.0","14"
"*0623a*","Scotty Pippen","MEM","G,Flx","105","DBD","Reserve","","2239","36.7","49%","-2.1%","3.8","0.9","0.6","9.1","0.8","3.3","4.2","1.2","0.3","1.8","0.05","0.00","0.0","6"
"*027ou*","Klay Thompson","DAL","G,F,Flx","106","TRH","Active","","2232","40.58","91%","-0.4%","7.1","3.1","0.1","14.1","0.7","3.5","2.0","0.8","0.5","1.3","0.00","0.00","0.0","0"
"*05ujt*","Aaron Wiggins","OKC","G,F,Flx","107","EE","Reserve","","2219","35.79","58%","-1.5%","4.5","1.7","0.2","11.5","1.1","3.7","1.6","0.8","0.3","0.9","0.02","0.00","0.0","2"
"*04jwd*","Royce O'Neale","PHO","G,F,Flx","108","TRH","Active","","2209","39.45","49%","-6.5%","4.5","2.5","0.1","9.6","0.8","4.9","2.1","1.0","0.5","0.9","0.04","0.00","0.0","0"
"*04ewk*","John Collins","UTA","F,C,Flx","109","TRUMP","Inj Res","","2208","58.11","98%","-0.4%","6.0","1.5","0.6","18.6","2.2","8.2","2.1","1.0","1.1","2.6","0.05","0.00","0.0","12"
"*04azw*","Lauri Markkanen","UTA","F,Flx","110","MylS","Inj Res","","2202","51.21","98%","-0.5%","8.6","2.9","0.5","19.3","1.7","6.1","1.6","0.8","0.4","1.4","0.00","0.00","0.0","5"
"*05uiz*","Quentin Grimes","PHI","G,F,Flx","111","15","Active","@BOS Thu 7:30PM","2187","37.71","69%","+2.6%","4.6","1.8","0.5","11.6","0.8","4.1","2.4","0.8","0.3","1.4","0.00","0.00","0.0","0"
"*01uyj*","Paul George","PHI","G,F,Flx","112","TRUMP","Active","@BOS Thu 7:30PM","2185","53.29","97%","-0.3%","7.9","2.3","0.4","16.2","0.6","5.3","4.3","1.8","0.5","2.6","0.07","0.00","0.0","3"
"*02nf3*","Bradley Beal","PHO","G,F,Flx","113","Tribunal","Active","","2150","50","96%","-0.2%","6.7","2.0","0.5","17.6","0.8","3.6","3.6","1.1","0.6","2.0","0.02","0.00","0.0","1"
"*04qrm*","Collin Sexton","UTA","G,Flx","114","DBD","Inj Res","","2150","44.79","92%","-1.6%","7.1","1.9","0.4","18.2","1.0","2.8","4.1","0.7","0.1","2.5","0.06","0.00","0.0","1"
"*06mk6*","Carlton Carrington","WAS","G,Flx","115","DBD","Active","","2143","35.13","66%","-0.1%","5.0","1.6","0.2","9.2","0.4","4.0","4.0","0.8","0.2","1.5","0.05","0.00","0.0","3"
"*03nwn*","Bobby Portis","MIL","F,C,Flx","116","420","Inj Res","","2139","46.5","71%","-2.4%","6.5","1.3","0.3","13.7","1.8","8.3","2.2","0.7","0.5","1.2","0.04","0.00","0.0","9"
"*03e6s*","Clint Capela","ATL","C,Flx","118","ROMO","Active","IND Thu 7:30PM","2132","41","82%","-2.7%","3.1","0.0","0.9","9.0","3.2","8.6","1.2","0.6","1.0","0.9","0.00","0.00","0.0","11"
"*051op*","Rui Hachimura","LAL","F,Flx","119","BabyOil","Reserve","NY Thu 10:00PM","2117","42.34","73%","-7%","4.9","1.7","0.5","13.3","1.5","5.2","1.5","0.8","0.5","0.9","0.00","0.00","0.0","1"
"*0527l*","Luguentz Dort","OKC","G,F,Flx","120","ROMO","Active","","2111","36.4","60%","-1.6%","4.7","2.2","0.2","9.7","1.3","4.1","1.7","1.1","0.6","0.7","0.09","0.03","0.0","0"
"*02nf7*","Harrison Barnes","SA","F,Flx","121","DBD","Active","","2104","35.07","47%","-3.9%","4.1","1.7","0.5","11.4","1.3","3.9","1.8","0.3","0.2","0.6","0.00","0.00","0.0","1"
"*051oi*","Ja Morant","MEM","G,Flx","122","420","Active","","2097","55.18","99%","0%","9.4","1.5","1.0","20.9","0.6","4.1","7.4","1.2","0.3","3.9","0.24","0.03","0.0","11"
"*06mjw*","Stephon Castle","SA","G,Flx","123","PRO","Reserve","","2082","35.29","84%","+0.8%","6.6","1.1","1.0","13.2","0.9","3.1","3.5","0.9","0.2","1.9","0.00","0.00","0.0","1"
"*051ok*","De'Andre Hunter","CLE","F,Flx","125","EE","Active","","2074","44.13","77%","+0.8%","6.6","2.6","0.6","18.1","0.7","4.0","1.4","0.7","0.2","1.4","0.09","0.00","0.0","1"
