"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*04qru*","Donte DiVincenzo","MIN","G,F,Flx","ROMO","Active","","608","43.43","87%","-1.5%","5.3","2.8","0.2","12.5","0.6","4.2","3.3","1.1","0.1","1.9","0.00","0.00","0.0","0"
"*05uic*","Jalen Green","HOU","G,Flx","EE","Active","","602","50.17","99%","+0.1%","10.3","3.2","0.5","22.9","0.7","4.1","2.3","0.8","0.4","1.5","0.17","0.08","0.0","0"
"*05uiz*","Quentin Grimes","DAL","G,F,Flx","EE","Active","","595","45.77","58%","+2.5%","6.0","2.3","0.3","14.0","1.1","5.2","3.2","0.5","0.3","1.2","0.00","0.00","0.0","0"
"*049kd*","Deandre Ayton","POR","C,Flx","DBD","Active","","591","53.73","98%","-0.1%","4.4","0.1","0.4","13.4","3.0","10.3","1.9","0.7","1.5","1.8","0.09","0.00","0.0","6"
"*05uud*","Justin Champagnie","WAS","F,Flx","TRUMP","Reserve","@CHI Fri 8:00PM","590","45.38","49%","-3.2%","3.5","1.5","0.4","10.2","2.2","6.8","1.2","1.1","1.0","1.2","0.00","0.00","0.0","2"
"*04ewn*","OG Anunoby","NY","G,F,Flx","15","Active","OKC Fri 7:30PM","573","44.08","98%","-0.2%","6.3","1.9","0.5","15.1","1.5","4.5","1.7","1.2","0.5","1.4","0.00","0.00","0.0","0"
"*05uiu*","Jalen Johnson","ATL","F,Flx","J&J","Inj Res","","571","71.38","100%","0%","6.8","0.8","1.0","19.9","2.0","10.1","4.4","1.9","0.9","2.1","0.13","0.00","0.0","5"
"*051ok*","De'Andre Hunter","ATL","F,Flx","EE","Active","","567","47.25","80%","-0.7%","6.9","2.8","0.9","19.2","0.7","4.2","1.8","1.0","0.1","1.9","0.08","0.00","0.0","0"
"*05qu0*","Jaden McDaniels","MIN","F,Flx","TRH","Active","","563","40.21","71%","-0.7%","4.8","1.3","0.1","9.3","1.7","6.3","1.1","1.7","0.7","1.1","0.00","0.00","0.0","2"
"*06ca8*","Amen Thompson","HOU","G,F,Flx","BabyOil","Active","","560","56","98%","+0.2%","4.1","0.2","0.9","13.9","3.3","9.1","3.2","1.2","1.2","2.0","0.10","0.10","0.0","4"
"*06cc8*","Dereck Lively","DAL","C,Flx","ROMO","Active","","560","56","94%","+0.3%","1.6","0.0","0.5","9.9","3.4","9.0","2.8","0.6","1.9","1.2","0.00","0.00","0.0","3"
"*06cbx*","Jaime Jaquez","MIA","G,F,Flx","Sar","Reserve","","553","39.5","79%","+9.5%","4.3","0.6","0.8","10.4","1.3","4.5","3.1","1.5","0.1","1.6","0.00","0.00","0.1","1"
"*06217*","Dyson Daniels","ATL","G,Flx","TRUMP","Active","","549","54.9","95%","-0.1%","5.8","1.2","0.6","11.7","1.1","4.8","4.2","3.3","0.7","1.6","0.00","0.00","0.0","0"
"*027ou*","Klay Thompson","DAL","G,F,Flx","TRH","Active","","549","45.75","92%","-0.3%","6.8","3.1","0.1","14.8","0.4","3.1","2.5","1.5","0.5","1.8","0.00","0.00","0.0","0"
"*02nf3*","Bradley Beal","PHO","G,F,Flx","Tribunal","Reserve","","548","49.82","96%","0%","7.8","2.3","0.5","18.4","0.9","2.9","3.1","1.3","0.7","1.8","0.00","0.00","0.0","0"
"*042ne*","Malik Beasley","DET","G,F,Flx","BabyOil","Reserve","","546","42","72%","-1.3%","9.2","3.8","0.6","16.9","0.4","3.0","2.1","1.1","0.1","1.0","0.08","0.00","0.0","0"
"*051p8*","Jordan Poole","WAS","G,Flx","DBD","Reserve","@CHI Fri 8:00PM","543","67.88","99%","-0.1%","10.4","4.6","1.0","25.4","0.9","4.0","4.9","1.8","0.8","4.0","0.38","0.00","0.0","0"
"*005ki*","Brook Lopez","MIL","C,Flx","Fent","Active","@ORL Fri 7:00PM","540","49.09","95%","-0.8%","5.5","2.4","0.1","15.4","1.0","4.6","1.6","0.5","1.4","1.0","0.00","0.00","0.0","0"
"*05uih*","Jonathan Kuminga","GS","F,C,Flx","DBD","Reserve","@IND Fri 7:00PM","538","53.8","94%","-3.1%","6.9","1.4","2.3","20.1","1.7","6.1","3.1","0.7","0.4","1.6","0.00","0.00","0.0","2"
"*02ym0*","Andrew Wiggins","GS","F,Flx","Tribunal","Inj Res","@IND Fri 7:00PM","538","44.83","92%","-0.4%","7.4","1.9","0.2","15.3","1.4","4.3","2.3","0.8","1.0","1.3","0.00","0.00","0.0","1"
"*03al2*","Joel Embiid","PHI","C,Flx","EE","Active","NO Fri 7:00PM","535","66.88","99%","-0.1%","8.6","1.6","1.0","25.9","1.8","7.6","4.0","1.1","0.9","2.8","0.38","0.13","0.0","2"
"*05qtr*","Devin Vassell","SA","G,F,Flx","PRO","Reserve","","535","41.15","93%","-0.4%","8.7","1.7","0.6","14.3","1.2","5.0","3.2","1.2","0.5","1.6","0.08","0.00","0.0","0"
"*06mju*","Alex Sarr","WAS","F,C,Flx","TRUMP","Reserve","@CHI Fri 8:00PM","533","48.45","95%","+0.3%","6.4","2.0","0.9","13.9","1.6","7.0","2.8","0.5","1.2","2.0","0.00","0.00","0.0","2"
"*06cd4*","Toumani Camara","POR","F,Flx","TRH","Active","","532","44.33","57%","+0.4%","4.8","1.4","0.2","10.8","2.3","6.3","1.8","1.3","0.8","1.3","0.00","0.00","0.0","1"
"*05uj9*","Herbert Jones","NO","F,Flx","BabyOil","Active","@PHI Fri 7:00PM","531","40.85","89%","-0.4%","5.4","1.2","0.2","10.0","1.2","4.2","3.9","1.8","0.4","1.8","0.08","0.00","0.0","0"
"*06218*","Jeremy Sochan","SA","F,Flx","PRO","Reserve","","530","48.18","93%","-1.2%","3.6","0.6","0.5","12.3","2.5","7.9","2.6","0.8","0.7","1.8","0.09","0.00","0.0","2"
"*0621e*","Mark Williams","CHA","C,Flx","TRUMP","Active","","529","52.9","95%","+0.2%","3.3","0.0","0.6","13.6","2.5","8.7","2.3","0.6","1.1","1.2","0.00","0.00","0.0","2"
"*027oo*","Jonas Valanciunas","WAS","C,Flx","MylS","Active","@CHI Fri 8:00PM","529","40.69","93%","-0.6%","4.2","0.2","0.2","10.7","2.2","8.1","2.5","0.7","0.5","2.3","0.00","0.00","0.0","3"
"*0623a*","Scotty Pippen","MEM","G,Flx","BabyOil","Active","","525","40.38","72%","-2.2%","4.2","1.7","0.8","10.6","1.1","3.2","3.5","1.3","0.6","2.2","0.00","0.00","0.0","0"
"*051or*","Cameron Johnson","BKN","F,Flx","PRO","Reserve","@DEN Fri 9:00PM","524","58.22","96%","-0.4%","6.2","3.2","0.7","21.3","0.8","4.2","3.4","0.9","0.3","3.3","0.00","0.00","0.0","1"
"*0621u*","Andrew Nembhard","IND","G,Flx","EE","Reserve","GS Fri 7:00PM","524","43.67","74%","-4.7%","5.0","1.0","0.5","12.9","0.8","4.3","5.3","0.7","0.3","1.9","0.08","0.00","0.0","0"
"*0621k*","Christian Braun","DEN","G,F,Flx","MylS","Active","BKN Fri 9:00PM","521","40.08","84%","-0.8%","4.0","0.7","0.2","11.3","1.1","4.0","2.7","1.1","0.4","0.5","0.00","0.00","0.0","0"
"*01eon*","DeMar DeRozan","SAC","G,F,Flx","DBD","Active","@BOS Fri 7:30PM","514","42.83","100%","0%","8.2","0.9","0.4","18.1","0.7","3.4","3.3","1.1","0.2","1.4","0.00","0.00","0.0","0"
"*03nwm*","Devin Booker","PHO","G,F,Flx","Sar","Active","","513","64.12","99%","0%","10.8","2.1","1.0","23.0","0.8","4.0","8.6","0.9","0.0","1.9","0.13","0.00","0.0","3"
"*051os*","P.J. Washington","DAL","F,Flx","TRH","Active","","512","42.67","93%","+0.2%","7.2","2.0","0.6","14.5","1.1","6.7","1.4","1.2","0.8","1.8","0.08","0.08","0.0","2"
"*051oj*","RJ Barrett","TOR","G,F,Flx","J&J","Active","","510","63.75","99%","0%","8.8","1.5","1.6","21.6","1.4","7.0","6.4","0.6","0.8","3.4","0.25","0.00","0.1","2"
"*0527h*","Naz Reid","MIN","F,C,Flx","Fent","Reserve","","509","36.36","94%","0%","6.2","1.6","0.7","12.9","1.3","4.9","1.8","0.5","0.9","1.4","0.21","0.00","0.0","1"
"*03ad0*","Tyus Jones","PHO","G,Flx","DBD","Active","","503","41.92","94%","-0.3%","4.4","2.2","0.1","12.3","0.5","2.6","4.5","0.6","0.3","1.8","0.00","0.00","0.0","1"
"*0621q*","Nikola Jovic","MIA","F,Flx","EE","Reserve","","503","38.69","54%","+1.2%","4.7","1.6","0.5","11.5","0.6","3.7","3.1","0.8","0.4","1.1","0.00","0.00","0.0","0"
"*05uig*","Josh Giddey","CHI","G,F,Flx","15","Active","WAS Fri 8:00PM","499","62.38","100%","0%","5.9","1.4","0.1","12.5","2.3","9.1","6.1","1.6","0.6","3.3","0.13","0.00","0.1","3"
"*06cdn*","Scoot Henderson","POR","G,Flx","420","Reserve","","496","38.15","90%","-1.8%","5.5","1.2","0.6","10.5","0.6","2.9","4.9","1.3","0.5","2.4","0.00","0.00","0.0","1"
"*02nfz*","Draymond Green","GS","F,C,Flx","DBD","Active","@IND Fri 7:00PM","493","44.82","93%","-0.4%","5.2","1.5","0.5","8.5","1.5","6.1","5.0","1.1","1.5","2.8","0.18","0.00","0.0","1"
"*06215*","Bennedict Mathurin","IND","G,F,Flx","420","Active","GS Fri 7:00PM","490","37.69","89%","-0.3%","6.8","1.2","0.6","13.9","1.3","5.5","2.4","0.5","0.4","1.9","0.00","0.00","0.0","1"
"*027p4*","Tobias Harris","DET","F,Flx","EE","Active","","487","40.58","97%","+0.1%","5.1","1.3","0.2","11.7","1.0","5.4","2.8","0.6","0.8","1.0","0.17","0.00","0.0","2"
"*06mk6*","Carlton Carrington","WAS","G,Flx","DBD","Active","@CHI Fri 8:00PM","485","37.31","68%","+1.3%","4.1","1.8","0.1","9.3","0.5","4.7","4.0","0.3","0.2","1.3","0.00","0.00","0.0","1"
"*042n6*","Jakob Poeltl","TOR","C,Flx","15","Active","","484","53.78","99%","0%","2.8","0.0","0.8","12.9","2.3","7.4","2.6","1.4","1.1","1.7","0.00","0.00","0.0","0"
"*01eo9*","Jrue Holiday","BOS","G,Flx","Tribunal","Active","SAC Fri 7:30PM","484","48.4","94%","-0.4%","4.2","1.8","0.1","11.3","1.1","4.1","4.0","1.5","0.5","1.2","0.00","0.00","0.0","0"
"*02nf6*","Damian Lillard","MIL","G,Flx","BabyOil","Active","@ORL Fri 7:00PM","483","69","99%","-0.2%","9.9","3.7","0.6","21.9","0.7","4.4","6.9","1.7","0.0","2.1","0.00","0.00","0.0","1"
"*03nwk*","Kelly Oubre Jr.","PHI","G,F,Flx","J&J","Reserve","NO Fri 7:00PM","472","47.2","83%","-0.2%","5.7","0.8","1.0","14.1","1.8","6.8","2.1","1.6","0.7","1.3","0.20","0.00","0.0","2"
"*05qto*","LaMelo Ball","CHA","G,Flx","EE","Active","","469","78.17","100%","0%","14.0","3.8","1.2","26.5","1.3","5.5","8.2","2.2","0.2","2.2","0.17","0.00","0.0","3"
"*06cc1*","Bilal Coulibaly","WAS","F,Flx","TRUMP","Active","@CHI Fri 8:00PM","464","46.4","90%","-1.1%","7.5","1.6","0.7","14.1","1.2","5.5","4.3","0.9","0.9","2.5","0.00","0.00","0.0","1"
"*051pb*","Nicolas Claxton","BKN","C,Flx","15","Reserve","@DEN Fri 9:00PM","459","35.31","95%","-0.7%","5.0","0.0","0.8","9.9","1.8","7.1","1.6","1.1","1.0","1.2","0.15","0.08","0.0","3"
"*042nf*","Caris LeVert","CLE","G,F,Flx","TRH","Reserve","","457","38.08","69%","-5%","5.2","2.0","0.8","11.1","0.5","2.6","3.3","1.0","0.6","1.2","0.00","0.00","0.0","0"
"*03el5*","Kristaps Porzingis","BOS","F,C,Flx","MylS","Active","SAC Fri 7:30PM","455","50.56","97%","0%","6.8","1.6","0.6","17.0","1.7","6.2","1.7","0.7","1.3","1.1","0.11","0.00","0.0","1"
"*031lv*","Kentavious Caldwell-Pope","ORL","G,F,Flx","TRH","Active","MIL Fri 7:00PM","455","37.92","68%","-3.2%","4.9","1.8","0.0","11.6","0.3","1.9","2.6","1.6","0.8","1.1","0.33","0.00","0.0","0"
"*06cc2*","Gradey Dick","TOR","G,F,Flx","Sar","Reserve","","452","37.67","85%","-2%","7.7","2.2","0.3","14.4","1.0","4.0","2.3","1.0","0.2","1.9","0.00","0.00","0.0","0"
"*03e6s*","Clint Capela","ATL","C,Flx","PRO","Reserve","","448","37.33","90%","-1.3%","3.0","0.0","0.8","8.3","2.3","7.8","1.2","0.7","1.2","1.5","0.00","0.00","0.0","2"
"*04ewd*","Luke Kennard","MEM","G,Flx","ROMO","Active","","448","40.73","26%","-4.7%","4.2","2.7","0.1","11.2","0.6","3.3","3.5","0.6","0.0","1.2","0.00","0.00","0.0","0"
"*055qo*","Caleb Martin","PHI","F,Flx","Sar","Reserve","NO Fri 7:00PM","435","43.5","38%","-3.8%","3.7","1.7","0.9","10.2","1.5","4.1","2.0","1.4","1.0","0.7","0.00","0.00","0.0","0"
"*06mll*","Jaylen Wells","MEM","F,Flx","J&J","Reserve","","430","33.08","42%","+0.1%","5.8","1.8","0.2","11.8","1.4","3.9","1.7","0.7","0.0","1.0","0.00","0.00","0.0","1"
"*062dn*","Julian Champagnie","SA","F,Flx","ROMO","Active","","428","32.92","56%","-5.7%","5.2","2.9","0.2","10.9","0.5","3.6","0.8","0.6","0.3","1.0","0.00","0.00","0.0","0"
"*0623m*","Keon Ellis","SAC","G,F,Flx","J&J","Reserve","@BOS Fri 7:30PM","428","35.67","54%","+1.6%","3.3","1.5","0.2","8.3","0.8","3.2","1.3","1.7","0.8","0.9","0.00","0.00","0.0","0"
"*051pi*","Daniel Gafford","DAL","F,C,Flx","PRO","Reserve","","427","35.58","91%","-2%","2.0","0.0","1.2","9.2","1.8","5.1","1.0","0.3","1.8","1.5","0.00","0.00","0.0","0"
"*02ng3*","Khris Middleton","MIL","F,Flx","Fent","Active","@ORL Fri 7:00PM","425","42.5","91%","-0.8%","5.8","1.8","0.5","13.8","0.4","4.9","4.4","0.5","0.1","2.4","0.00","0.00","0.0","0"
"*027oj*","Kyrie Irving","DAL","G,Flx","Fent","Active","","420","60","99%","-0.5%","11.1","2.9","0.3","25.3","0.7","3.9","3.9","1.0","0.7","2.6","0.00","0.00","0.0","0"
"*06mk1*","Zach Edey","MEM","C,Flx","MylS","Active","","417","41.7","93%","-1.3%","2.8","0.4","0.9","9.1","3.8","8.2","1.1","0.4","1.3","1.6","0.00","0.00","0.0","2"
"*05uip*","Corey Kispert","WAS","G,F,Flx","PRO","Active","@CHI Fri 8:00PM","416","37.82","39%","-2.2%","4.7","2.5","0.2","13.5","0.7","2.7","2.0","0.3","0.3","1.1","0.00","0.00","0.0","0"
"*03wr4*","T.J. McConnell","IND","G,Flx","MylS","Active","GS Fri 7:00PM","410","31.54","56%","-7.1%","4.2","0.3","0.4","8.7","0.7","2.5","4.6","0.9","0.2","1.5","0.00","0.00","0.0","1"
"*051op*","Rui Hachimura","LAL","F,Flx","BabyOil","Reserve","","396","33","71%","-4.3%","4.8","1.3","0.7","10.8","1.4","4.8","1.3","0.7","0.6","1.6","0.00","0.00","0.0","0"
