"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","DBD","Active","MIN Wed 10:00PM","850","121.43","100%","0%","7.3","1.3","1.6","26.7","2.4","16.0","11.3","1.4","0.9","4.0","0.00","0.00","0.4","7"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","Fent","Active","@BOS Wed 7:30PM","673","96.14","100%","0%","10.0","2.9","0.3","35.1","1.3","4.4","6.4","1.3","1.1","2.0","0.00","0.00","0.0","0"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","TRH","Active","","647","92.43","100%","0%","8.1","0.1","2.7","28.7","3.0","13.1","6.3","0.9","0.6","2.3","0.00","0.00","0.1","5"
"*01eo6*","James Harden","LAC","G,Flx","Sar","Active","@MIA Wed 8:00PM","645","80.62","100%","0%","11.0","3.8","1.3","26.6","0.5","4.6","9.8","1.4","0.5","4.5","0.00","0.00","0.0","3"
"*01enh*","Stephen Curry","GS","G,Flx","TRUMP","Active","","645","92.14","99%","-0.5%","9.4","5.9","0.3","32.9","0.9","4.0","6.6","1.3","0.1","3.3","0.14","0.00","0.0","2"
"*04ewf*","Bam Adebayo","MIA","F,C,Flx","PRO","Active","LAC Wed 8:00PM","633","79.12","100%","0%","7.0","1.3","1.0","24.4","2.0","10.4","4.8","1.4","0.3","1.8","0.00","0.00","0.0","4"
"*04kj6*","Luka Doncic","LAL","G,Flx","MylS","Active","","591","84.43","100%","0%","12.6","3.9","2.4","28.4","0.9","8.0","8.7","1.9","0.1","5.0","0.29","0.00","0.1","4"
"*042nt*","Ivica Zubac","LAC","C,Flx","Sar","Active","@MIA Wed 8:00PM","567","70.88","99%","0%","5.0","0.0","1.1","20.4","2.9","12.0","2.8","0.4","1.3","1.0","0.00","0.00","0.0","8"
"*04qrp*","Miles Bridges","CHA","F,Flx","Tribunal","Active","@ATL Wed 7:30PM","561","80.14","99%","0%","11.3","3.0","0.4","29.0","1.4","8.9","4.7","0.4","1.0","2.1","0.00","0.00","0.0","2"
"*05uib*","Cade Cunningham","DET","G,Flx","EE","Active","","526","65.75","100%","0%","9.4","1.4","0.6","24.9","0.5","4.8","8.0","1.3","0.5","5.3","0.13","0.00","0.0","3"
"*0011e*","LeBron James","LAL","F,Flx","15","Reserve","","518","86.33","98%","-1.4%","10.3","2.3","1.3","27.5","1.8","11.5","6.8","0.8","0.8","3.7","0.00","0.00","0.0","4"
"*001aw*","Kevin Durant","PHO","F,Flx","BabyOil","Active","@HOU Wed 8:00PM","517","73.86","99%","-0.3%","9.3","3.4","0.7","27.1","0.6","6.7","4.9","0.7","1.0","3.1","0.29","0.00","0.0","1"
"*0621b*","Jalen Williams","OKC","G,F,C,Flx","Tribunal","Active","@BOS Wed 7:30PM","505","72.14","100%","0%","8.1","2.4","0.9","23.6","0.6","5.1","6.3","1.0","0.7","1.7","0.00","0.00","0.0","0"
"*051oh*","Zion Williamson","NO","F,C,Flx","BabyOil","Active","","504","84","100%","0%","6.8","0.0","1.8","25.0","2.2","7.0","7.3","1.0","1.0","2.7","0.00","0.00","0.3","3"
"*05uig*","Josh Giddey","CHI","G,F,Flx","15","Active","","502","83.67","100%","0%","7.8","1.8","1.2","22.0","1.5","9.7","9.3","0.7","0.5","2.8","0.17","0.00","0.2","5"
"*05qtv*","Tyrese Haliburton","IND","G,Flx","15","Active","","492","98.4","100%","-0.1%","5.8","3.8","0.0","22.2","0.4","3.2","11.6","2.6","0.4","1.2","0.00","0.00","0.0","5"
"*042nm*","Pascal Siakam","IND","F,C,Flx","Sar","Active","","492","61.5","99%","-0.1%","7.5","2.1","1.6","23.1","1.3","6.4","3.1","0.8","0.4","1.8","0.00","0.00","0.0","1"
"*02nf6*","Damian Lillard","MIL","G,Flx","BabyOil","Active","","482","68.86","99%","-0.1%","8.0","3.0","0.3","23.9","0.3","4.7","5.4","1.6","0.0","2.7","0.00","0.00","0.0","1"
"*04qs1*","Anfernee Simons","POR","G,Flx","15","Active","NY Wed 10:00PM","480","60","99%","-0.1%","10.3","3.6","0.0","25.1","0.5","2.9","3.6","1.3","0.0","2.0","0.00","0.00","0.0","0"
"*042n4*","Jamal Murray","DEN","G,Flx","15","Active","MIN Wed 10:00PM","477","68.14","99%","-0.2%","9.4","2.3","0.3","24.4","1.0","3.3","6.0","1.4","0.3","1.3","0.00","0.00","0.0","0"
"*0621c*","Jalen Duren","DET","C,Flx","BabyOil","Active","","474","59.25","99%","0%","2.1","0.0","1.4","13.5","2.6","10.4","2.0","1.3","1.5","1.6","0.25","0.00","0.0","6"
"*027oo*","Jonas Valanciunas","SAC","C,Flx","MylS","Active","","469","67","95%","-0.5%","4.4","0.1","0.4","13.9","3.4","12.1","3.7","1.3","1.1","1.4","0.00","0.00","0.0","4"
