"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*05qtt*","Onyeka Okongwu","ATL","C,Flx","Fent","Active","@ORL Mon 7:00PM","1224","55.64","95%","+0.2%","3.5","0.6","0.7","12.6","3.0","9.1","2.7","1.0","1.0","1.2","0.05","0.00","0.0","8"
"*06216*","Shaedon Sharpe","POR","G,F,Flx","Fent","Active","@DEN Mon 9:00PM","1220","42.07","91%","-0.2%","7.9","2.0","0.5","17.3","0.7","4.1","2.4","0.8","0.2","1.8","0.00","0.00","0.0","0"
"*049kd*","Deandre Ayton","POR","C,Flx","DBD","Active","@DEN Mon 9:00PM","1215","55.23","98%","+0.2%","5.0","0.0","0.5","14.7","3.5","10.7","2.0","0.7","1.1","1.6","0.09","0.00","0.0","10"
"*05qt1*","Payton Pritchard","BOS","G,Flx","PRO","Active","@MIA Mon 7:30PM","1213","44.93","81%","-0.2%","5.1","2.6","0.1","11.8","1.6","4.0","3.7","0.7","0.3","1.0","0.00","0.00","0.0","2"
"*01eon*","DeMar DeRozan","SAC","G,F,Flx","DBD","Active","@DAL Mon 8:30PM","1211","46.58","100%","-0.2%","8.7","1.0","0.6","20.4","0.6","3.7","3.4","0.7","0.4","1.2","0.08","0.00","0.0","0"
"*042ne*","Malik Beasley","DET","G,F,Flx","BabyOil","Active","","1200","44.44","75%","+0.5%","7.8","4.2","0.7","17.3","0.6","2.6","1.7","1.1","0.0","1.1","0.11","0.00","0.0","0"
"*03xmt*","Guerschon Yabusele","PHI","F,C,Flx","BabyOil","Active","","1196","44.3","68%","+1.9%","3.8","1.6","0.3","12.4","1.9","5.6","2.1","0.9","0.4","1.3","0.04","0.00","0.0","2"
"*051os*","P.J. Washington","DAL","F,Flx","TRH","Active","SAC Mon 8:30PM","1191","49.62","96%","0%","7.3","1.7","0.9","15.5","1.7","8.2","2.2","1.1","0.9","2.0","0.08","0.04","0.0","6"
"*005ki*","Brook Lopez","MIL","C,Flx","Fent","Active","GS Mon 8:00PM","1190","45.77","96%","-0.2%","5.5","2.0","0.1","13.4","1.2","4.4","1.8","0.4","1.7","0.8","0.00","0.00","0.0","0"
"*05qtr*","Devin Vassell","SA","G,F,Flx","PRO","Active","@WAS Mon 7:00PM","1187","45.65","94%","-0.5%","8.4","2.3","0.6","16.3","0.7","4.2","3.1","1.2","0.5","1.5","0.04","0.00","0.0","0"
"*06cc1*","Bilal Coulibaly","WAS","G,F,Flx","TRUMP","Active","SA Mon 7:00PM","1187","43.96","90%","+1.9%","6.8","1.3","0.9","13.3","1.4","4.9","3.7","1.2","0.8","2.3","0.04","0.00","0.0","2"
"*027oj*","Kyrie Irving","DAL","G,Flx","Fent","Active","SAC Mon 8:30PM","1169","61.53","99%","0%","10.8","2.5","0.4","24.2","1.2","4.5","4.4","1.4","0.5","2.5","0.00","0.00","0.0","0"
"*0621q*","Nikola Jovic","MIA","F,Flx","EE","Active","BOS Mon 7:30PM","1165","44.81","72%","+1.7%","4.9","2.2","0.3","12.7","0.6","4.0","3.9","0.8","0.4","1.8","0.00","0.00","0.0","0"
"*051on*","Coby White","CHI","G,Flx","DBD","Active","","1162","50.52","99%","0%","7.8","3.0","0.3","19.3","0.3","2.9","4.5","0.7","0.1","2.5","0.00","0.00","0.0","1"
