"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*04ewf*","Bam Adebayo","MIA","F,C","53","GN","","613","76.62","100%","0%","8","79.0","24","4","190","31","76","26","9","5","12","0","0","0","3"
"*04qro*","Shai Gilgeous-Alexander","OKC","G","1","L Bozo","","597","85.29","100%","0%","7","49.0","8","6","234","5","26","36","5","11","14","1","0","0","1"
"*04kj6*","Luka Doncic","LAL","G","5","GOD","@CHI Mon 8:00PM","565","94.17","100%","0%","6","67.0","25","12","194","4","42","52","7","3","21","4","0","1","4"
"*06cch*","Victor Wembanyama","SA","C","31","9/11FT","","544","77.71","100%","0%","7","63.0","22","10","167","17","76","11","3","16","12","0","0","0","5"
"*05uie*","Scottie Barnes","TOR","F","7","UBER","","526","75.14","100%","0%","7","58.0","2","8","146","14","58","52","9","12","21","1","0","0","3"
"*0011e*","LeBron James","LAL","F","101","420","@CHI Mon 8:00PM","521","74.43","99%","0%","7","60.0","11","7","163","9","53","50","7","7","25","0","0","0","1"
"*001aw*","Kevin Durant","HOU","G,F","18","UBER","MEM Mon 8:00PM","514","73.43","99%","0%","7","68.0","20","7","190","6","45","35","8","5","25","1","0","0","1"
"*05uiq*","Alperen Sengun","HOU","F,C","26","PRO","MEM Mon 8:00PM","489","69.86","100%","0%","7","53.0","2","17","135","16","64","44","11","8","27","0","0","0","4"
"*042n4*","Jamal Murray","DEN","G","10","L Bozo","","480","80","100%","0%","6","52.0","18","3","178","1","14","38","8","4","17","0","0","0","1"
"*05qsq*","Tyrese Maxey","PHI","G","4","420","@CHA Mon 3:00PM","476","79.33","100%","0%","6","75.0","12","1","143","3","18","44","21","7","12","0","0","0","1"
"*05uir*","Trey Murphy","NO","G,F","15","420","","474","67.71","100%","0%","7","73.0","24","4","174","4","34","30","10","4","14","1","0","0","0"
"*027p0*","Nikola Vucevic","CHI","C","22","PRO","LAL Mon 8:00PM","466","66.57","100%","0%","7","49.0","9","1","130","12","54","34","3","11","5","0","0","0","1"
"*06cby*","Keyonte George","UTA","G","13","UBER","","466","66.57","98%","0%","7","67.0","19","6","186","2","16","35","11","2","18","0","0","0","0"
"*01enh*","Stephen Curry","GS","G","25","GWBush","@MIN Mon 9:30PM","450","64.29","99%","0%","7","61.0","26","1","147","2","22","45","7","1","15","0","0","0","1"
"*06ca8*","Amen Thompson","HOU","G,F","21","GN","MEM Mon 8:00PM","447","63.86","100%","0%","7","45.0","2","7","118","17","54","37","12","4","13","0","0","0","1"
"*04ewe*","Donovan Mitchell","CLE","G","6","Penta","ORL Mon 7:00PM","447","74.5","100%","0%","6","74.0","19","7","160","6","33","47","9","0","20","1","0","0","1"
