ID,Player,Team,Position,RkOv,Status,FPts,FP/G
*043cj*,Gary Payton II,GS,"G,Flx",291,FA,106,11.78
*0633h*,Pat Spencer,GS,"G,Flx",302,FA,99,16.5
*0622i*,Gui Santos,GS,"F,Flx",334,FA,64,7.11
*04qsm*,DeAnthony Melton,GS,"G,Flx",1214,FA,0,0
*06v8i*,Alex Toohey,GS,"F,Flx",1571,FA,0,0
*06mo8*,Jackson Rowe,GS,"F,Flx",1437,FA,0,0
*03xmu*,Dragan Bender,GS,"F,C,Flx",540,FA,0,0
*05uib*,Cade Cunningham,DET,"G,Flx",12,BALL,695,77.22
*0621c*,Jalen Duren,DET,"C,Flx",22,Penta,609,67.67
*06ccf*,Ausar Thompson,DET,"F,Flx",78,GOD,455,50.56
*05qub*,Isaiah Stewart,DET,"C,Flx",111,PartyMar,392,43.56
*06mjx*,Ron Holland,DET,"F,Flx",148,FA,328,36.44
*04s00*,Duncan Robinson,DET,"G,F,Flx",174,FA,294,32.67
*027p4*,Tobias Harris,DET,"F,Flx",210,TRUMP,239,39.83
*0558v*,Javonte Green,DET,"G,F,Flx",233,FA,196,21.78
*05qst*,Paul Reed,DET,"C,Flx",272,FA,132,18.86
*042nf*,Caris LeVert,DET,"G,F,Flx",284,FA,118,19.67
*06mmf*,Daniss Jenkins,DET,"G,Flx",332,FA,65,13
*06pwq*,Tolu Smith,DET,"F,Flx",384,FA,32,32
*06mlj*,Bobi Klintman,DET,"F,Flx",385,FA,31,15.5
*06v83*,Chaz Lanier,DET,"G,Flx",394,FA,28,4.67
*06cdj*,Colby Jones,DET,"G,Flx",420,FA,14,14
*06mmh*,Isaac Jones,DET,"F,Flx",425,FA,12,4
*06214*,Jaden Ivey,DET,"G,Flx",992,GN,0,0
*06ccg*,Marcus Sasser,DET,"G,Flx",1451,FA,0,0
*04xie*,Keenan Evans,DET,"G,Flx",810,FA,0,0
*03e75*,Nikola Jokic,DEN,"C,Flx",1,PartyMar,1081,120.11
*042n4*,Jamal Murray,DEN,"G,Flx",36,L Bozo,543,67.88
*03al0*,Aaron Gordon,DEN,"F,Flx",92,9/11FT,434,54.25
*0621k*,Christian Braun,DEN,"G,F,Flx",133,PRO,348,38.67
*0621t*,Peyton Watson,DEN,"F,Flx",167,FA,304,33.78
*031mb*,Tim Hardaway,DEN,"G,F,Flx",175,FA,293,32.56
*027oo*,Jonas Valanciunas,DEN,"C,Flx",196,FA,257,28.56
*04qsj*,Bruce Brown,DEN,"G,Flx",215,FA,232,25.78
*051or*,Cameron Johnson,DEN,"F,Flx",227,ASS,216,24
*06ca3*,Julian Strawther,DEN,"G,F,Flx",328,FA,68,11.33
*06ccy*,Jalen Pickett,DEN,"G,Flx",364,FA,40,8
*06nv9*,Spencer Jones,DEN,"F,Flx",363,FA,40,6.67
*05quh*,Zeke Nnaji,DEN,"F,C,Flx",405,FA,22,4.4
*06mke*,DaRon Holmes,DEN,"F,C,Flx",433,FA,9,4.5
*06ccx*,Hunter Tyson,DEN,"F,Flx",434,FA,9,2.25
*06y0j*,Tamar Bates,DEN,"G,Flx",522,FA,0,0
*06yzq*,Curtis Jones,DEN,"G,Flx",1040,FA,0,0
*03r8a*,Nikola Radicevic,DEN,"G,Flx",1403,FA,0,0
*031mr*,Jamaal Franklin,DEN,"G,F,Flx",845,FA,0,0
*051os*,P.J. Washington,DAL,"F,C,Flx",61,Penta,507,50.7
*06v5l*,Cooper Flagg,DAL,"G,F,Flx",87,PRO,443,44.3
*0621y*,Max Christie,DAL,"G,F,Flx",109,FA,394,39.4
*05qzh*,Naji Marshall,DAL,"F,Flx",124,FA,362,36.2
*02nf1*,Anthony Davis,DAL,"F,C,Flx",128,9/11FT,355,71
*03ad4*,DAngelo Russell,DAL,"G,Flx",136,L Bozo,344,34.4
*05y9y*,Brandon Williams,DAL,"G,Flx",225,FA,218,27.25
*027ou*,Klay Thompson,DAL,"G,F,Flx",244,FA,183,20.33
*051pi*,Daniel Gafford,DAL,"C,Flx",245,UBER,182,36.4
*03e79*,Dwight Powell,DAL,"C,Flx",269,FA,134,14.89
*06220*,Jaden Hardy,DAL,"G,Flx",281,FA,119,13.22
*06cc8*,Dereck Lively,DAL,"C,Flx",295,HAIRY,105,35
*07215*,Moussa Cisse,DAL,"C,Flx",309,FA,90,15
*055qo*,Caleb Martin,DAL,"F,Flx",341,FA,60,7.5
*06y3q*,Ryan Nembhard,DAL,"G,Flx",379,FA,33,6.6
*027oj*,Kyrie Irving,DAL,"G,Flx",991,Penta,0,0
*03acx*,Dante Exum,DAL,"G,Flx",813,FA,0,0
*042oa*,Ben Bentil,DAL,"F,Flx",543,FA,0,0
*048tg*,Jameel Warney,DAL,"F,Flx",1614,FA,0,0
*06vxx*,Miles Kelly,DAL,"G,Flx",1703,FA,-2,-2
*04ewe*,Donovan Mitchell,CLE,"G,Flx",7,Penta,738,82
*05uid*,Evan Mobley,CLE,"F,C,Flx",11,GN,709,70.9
*04ewm*,Jarrett Allen,CLE,"C,Flx",81,9/11ST,451,56.38
*06mkc*,Jaylon Tyson,CLE,"G,F,Flx",98,Bomb,425,42.5
*05qtb*,Sam Merrill,CLE,"G,Flx",141,UBER,337,48.14
*051ok*,DeAndre Hunter,CLE,"F,Flx",147,PRO,331,47.29
*06cp4*,Craig Porter,CLE,"G,Flx",200,FA,252,25.2
*049ka*,Lonzo Ball,CLE,"G,Flx",206,FA,244,30.5
*0529c*,Dean Wade,CLE,"F,Flx",213,FA,234,26
*03r7l*,Larry Nance,CLE,"F,C,Flx",250,FA,172,19.11
*06v8f*,Tyrese Proctor,CLE,"G,Flx",275,FA,129,14.33
*051ol*,Darius Garland,CLE,"G,Flx",313,BALL,85,42.5
*04ex5*,Thomas Bryant,CLE,"C,Flx",350,FA,52,8.67
*0622j*,Luke Travers,CLE,"G,Flx",381,FA,33,8.25
*06prl*,NaeQwan Tomlin,CLE,"F,Flx",404,FA,23,11.5
*0558t*,Max Strus,CLE,"G,F,Flx",1522,FA,0,0
*06cde*,Chris Livingston,CLE,"F,Flx",1128,FA,0,0
*04xhr*,J.P. Macura,CLE,"G,Flx",1145,FA,0,0
*05uig*,Josh Giddey,CHI,"G,Flx",10,Bomb,726,80.67
*027p0*,Nikola Vucevic,CHI,"C,Flx",21,9/11ST,618,68.67
*05qtq*,Tre Jones,CHI,"G,Flx",71,GN,473,52.56
