Player ID,Player,S1 FP/G,S2 FP/G,S3 FP/G,S4 FP/G,S5 FP/G,S6 FP/G,S7 FP/G,S8 FP/G,S9 FP/G,S10 FP/G,S11 FP/G,S12 FP/G
*03aq2*,Jerami Grant,48.38,53.03,49.24,40.17,,,,,,,,
*0015b*,Kyle Lowry,56.14,45.24,37.95,23.77,,,,,,,,
*03r7z*,Norman Powell,47.2,40.68,34.76,52.65,,,,,,,,
*042n3*,Buddy Hield,45.05,54.11,40.54,34.21,,,,,,,,
*027ou*,Klay Thompson,49.81,53.96,45.44,39.36,,,,,,,,
*03e6s*,Clint Capela,56.03,55.66,53.59,40.93,,,,,,,,
*04s00*,Duncan Robinson,32.06,17.52,38.82,32.51,,,,,,,,
*042nw*,Malcolm Brogdon,57.47,46.39,50.03,37.58,,,,,,,,
*03e6u*,Bogdan Bogdanovic,46.35,41.81,49.46,33.87,,,,,,,,
*000zv*,Al Horford,50.78,46.75,43.66,40.65,,,,,,,,
*03al0*,Aaron Gordon,44.79,53,49.88,45.78,,,,,,,,
*04qrn*,Mikal Bridges,45.66,55.76,52.71,49.33,,,,,,,,
*03nwl*,Terry Rozier,58.33,55.32,58.03,30.62,,,,,,,,
*04ewt*,Derrick White,45.53,45.22,58.53,59.57,,,,,,,,
*042n6*,Jakob Poeltl,58.29,54.9,52.54,60.93,,,,,,,,
*05uic*,Jalen Green,40.42,48.66,50.07,50.76,,,,,,,,
*01ens*,Patrick Beverley,0,0,0,0,,,,,,,,
*02nf9*,Andre Drummond,44.27,28.31,39.48,33.9,,,,,,,,
*03al1*,Marcus Smart,48.83,47.26,44.55,31.03,,,,,,,,
*04qse*,Gary Trent,47.74,44.74,37.27,32.45,,,,,,,,
*042ne*,Malik Beasley,32.95,34.78,36.06,42.51,,,,,,,,
*051ot*,Tyler Herro,51.02,55.04,55.64,66.55,,,,,,,,
*005ki*,Brook Lopez,35.62,54.37,47.77,47.41,,,,,,,,
*05uj1*,Cameron Thomas,20.67,22.49,47.09,52.12,,,,,,,,
*03lg1*,Ben Simmons,0,44.76,46.67,34.8,,,,,,,,
*04qs4*,Robert Williams,58.92,44.63,36.67,34.35,,,,,,,,
*0015e*,Mike Conley,50.14,49.76,49.96,38.18,,,,,,,,
*05qtm*,Precious Achiuwa,32.15,32.22,34.74,29.93,,,,,,,,
*03e74*,Spencer Dinwiddie,44.78,54.96,37.41,37.92,,,,,,,,
*027oz*,Kawhi Leonard,0,69.75,71.04,62.05,,,,,,,,
*05qtv*,Tyrese Haliburton,66.49,81.98,81.29,76.16,,,,,,,,
*06210*,Paolo Banchero,0,51.97,61.42,65.52,,,,,,,,
*01sc8*,John Wall,0,35.56,0,0,,,,,,,,
*051ol*,Darius Garland,67.26,64.39,53.75,61.92,,,,,,,,
*05qsq*,Tyrese Maxey,49.55,51.87,69.21,70.88,,,,,,,,
*051p8*,Jordan Poole,49.54,48.01,45.13,55.4,,,,,,,,
*05uid*,Evan Mobley,52.97,58.2,62.34,68.13,,,,,,,,
*05qt3*,Desmond Bane,52.78,60.74,65.67,62.96,,,,,,,,
*02nf7*,Harrison Barnes,47.53,41.05,33.61,37.79,,,,,,,,
*05uiq*,Alperen Sengun,37.32,58.08,70.22,67.41,,,,,,,,
*042n4*,Jamal Murray,0,59.69,64.81,64.27,,,,,,,,
*03nwn*,Bobby Portis,51.26,48.84,44.44,48.22,,,,,,,,
*051p9*,Keldon Johnson,48.11,50.43,46.62,36.88,,,,,,,,
*05qtr*,Devin Vassell,39.93,51.29,54.15,48.38,,,,,,,,
*031lz*,Steven Adams,48.58,52.21,0,23.97,,,,,,,,
*05qty*,Jalen Smith,32.25,32.94,35.64,31.23,,,,,,,,
*04ewr*,Kyle Kuzma,55.82,55.69,57.53,37.85,,,,,,,,
*04ewu*,Josh Hart,53.59,48.25,46.48,66.91,,,,,,,,
*05qub*,Isaiah Stewart,37.86,41.54,39.07,31.15,,,,,,,,
*04azw*,Lauri Markkanen,44.15,70.98,69.04,50.19,,,,,,,,
*059ca*,Oshae Brissett,32.16,20.26,15.69,26.5,,,,,,,,
*0621l*,Walker Kessler,0,47.86,43.25,62.28,,,,,,,,
*04qsa*,Jalen Brunson,47.95,63.53,72.01,68.62,,,,,,,,
*05qt0*,Saddiq Bey,47.26,40.18,43.76,0,,,,,,,,
*04qrl*,Wendell Carter,57.06,52.86,42,38.47,,,,,,,,
*05uig*,Josh Giddey,51.81,58.53,47.19,65.63,,,,,,,,
*04qsi*,Jarred Vanderbilt,41.59,40.72,27,24.61,,,,,,,,
*06212*,Jabari Smith,0,40.49,48.25,40.51,,,,,,,,
*04qsd*,Mitchell Robinson,47.69,49.17,40.03,34.06,,,,,,,,
*05uii*,Franz Wagner,43.25,49,53.54,62.87,,,,,,,,
*051os*,P.J. Washington,41.14,46.74,42.63,51.39,,,,,,,,
*06213*,Keegan Murray,0,40.62,48.77,45.72,,,,,,,,
*05qtq*,Tre Jones,25.04,48.84,45.26,33.04,,,,,,,,
*06214*,Jaden Ivey,0,44.54,41.35,48.23,,,,,,,,
*051p1*,Brandon Clarke,39.3,36.12,38.83,33.06,,,,,,,,
*05uj0*,Bones Hyland,31.68,33.2,21.49,19.75,,,,,,,,
*03nwk*,Kelly Oubre Jr.,40.41,48.1,42.68,48.17,,,,,,,,
*042nt*,Ivica Zubac,44.72,47.46,48.57,69.03,,,,,,,,
*042nf*,Caris LeVert,45.21,41.01,47.44,40.61,,,,,,,,
*049s6*,Markelle Fultz,37.5,49.73,28.65,10.52,,,,,,,,
*027ov*,Alec Burks,42.27,36.65,26.03,24.88,,,,,,,,
*005kd*,Kevin Love,45.95,32.56,35.51,22.39,,,,,,,,
*05qu1*,James Wiseman,0,29.82,26.89,10,,,,,,,,
*049kf*,Mo Bamba,46.65,27.37,23.14,22.09,,,,,,,,
*06215*,Bennedict Mathurin,0,36.32,36.19,41.62,,,,,,,,
*049ki*,Marvin Bagley,35.75,37.76,38.12,15.23,,,,,,,,
*038xi*,Robert Covington,41.13,27.17,26.62,0,,,,,,,,
*031m9*,Mason Plumlee,40.93,50.18,24.09,28.93,,,,,,,,
*04qs1*,Anfernee Simons,45.25,52,56.48,50.57,,,,,,,,
*02ng4*,Will Barton,46.11,22.2,0,0,,,,,,,,
*051or*,Cameron Johnson,40.32,47.9,42.62,55.35,,,,,,,,
*06cch*,Victor Wembanyama,0,0,81.13,90.24,,,,,,,,
*051pi*,Daniel Gafford,37.38,36.88,52.34,47.58,,,,,,,,
*06cca*,Brandon Miller,0,0,45.26,56.89,,,,,,,,
*051pb*,Nicolas Claxton,34.87,58.99,55.39,44.77,,,,,,,,
*05qst*,Paul Reed,17.26,22.04,35.65,20.67,,,,,,,,
*06211*,Chet Holmgren,0,0,61.96,56.69,,,,,,,,
*05uus*,Austin Reaves,26.51,40.06,52.99,62.67,,,,,,,,
*05qtt*,Onyeka Okongwu,37.42,43.16,42.55,55.59,,,,,,,,
*06cdn*,Scoot Henderson,0,0,38.24,41,,,,,,,,
*0621b*,Jalen Williams,0,47.48,57.06,64.93,,,,,,,,
*06218*,Jeremy Sochan,0,34.84,42.15,41.72,,,,,,,,
*06216*,Shaedon Sharpe,0,26.66,42.84,45.76,,,,,,,,
*031m4*,Dennis Schroder,39.7,36.65,46.23,41.4,,,,,,,,
*03aq3*,Kyle Anderson,35.3,46.49,32.35,27.05,,,,,,,,
*031lv*,Kentavious Caldwell-Pope,37.82,38.91,36.46,30.69,,,,,,,,
*06mk1*,Zach Edey,0,0,0,42.7,,,,,,,,
*05uiu*,Jalen Johnson,6.55,23.81,60.64,71.58,,,,,,,,
*0621c*,Jalen Duren,0,43.3,57.43,57.51,,,,,,,,
*05qu9*,Immanuel Quickley,35.58,46.47,50.93,52.33,,,,,,,,
*06mjt*,Zaccharie Risacher,0,0,0,33.8,,,,,,,,
*04ex6*,Isaiah Hartenstein,37.41,30.98,48.33,58.35,,,,,,,,
*051on*,Coby White,35.87,32.34,54.46,55.45,,,,,,,,
*06217*,Dyson Daniels,0,21.71,32.28,62.05,,,,,,,,
*06ca8*,Amen Thompson,0,0,43.13,59.97,,,,,,,,
*06mk9*,Dalton Knecht,0,0,0,24.63,,,,,,,,
*05qtj*,Deni Avdija,32.66,37.96,51.59,56.67,,,,,,,,
*05uih*,Jonathan Kuminga,25.37,30.46,42.59,39.53,,,,,,,,
*0621e*,Mark Williams,0,37.88,54.95,60.43,,,,,,,,
*04qru*,Donte DiVincenzo,34.36,42.82,50.22,43.95,,,,,,,,
*051op*,Rui Hachimura,30.76,29.35,38.71,41.73,,,,,,,,
*0527h*,Naz Reid,28.64,36.18,42.36,47.12,,,,,,,,
*03ad0*,Tyus Jones,34.89,41,52.2,42.01,,,,,,,,
*06cby*,Keyonte George,0,0,35.41,47.78,,,,,,,,
*031m0*,Kelly Olynyk,35.12,47.78,44.63,35.36,,,,,,,,
*04qry*,Grayson Allen,35.23,36,48.91,36.36,,,,,,,,
*06ccv*,Trayce Jackson-Davis,0,0,33.69,28.82,,,,,,,,
*06cc8*,Dereck Lively,0,0,41.76,46.67,,,,,,,,
*05uj9*,Herbert Jones,38.67,39.44,42.87,41.2,,,,,,,,
*06cc2*,Gradey Dick,0,0,22.87,36.96,,,,,,,,
*05uir*,Trey Murphy,18.1,45.53,48.79,60.43,,,,,,,,
*06mju*,Alex Sarr,0,0,0,44.07,,,,,,,,
*06cc7*,Brandin Podziemski,0,0,40.78,43.92,,,,,,,,
*06mk3*,Matas Buzelis,0,0,0,27.7,,,,,,,,
*06cbx*,Jaime Jaquez,0,0,37.21,32.09,,,,,,,,
*03wr4*,T.J. McConnell,37.59,37.97,39.48,34.28,,,,,,,,
0,,,,,,,,,,,,,
