"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*01enh*","Stephen Curry","GS","G,Flx","TRUMP","Active","@BKN Thu 7:30PM","429","107.25","99%","0%","9.0","6.3","0.5","33.5","0.5","4.8","8.8","1.5","0.3","2.5","0.00","0.00","0.0","2"
"*05qtv*","Tyrese Haliburton","IND","G,Flx","15","Active","@ATL Thu 7:30PM","427","106.75","100%","0%","5.5","4.3","0.0","24.3","0.3","3.3","12.0","2.8","0.5","1.3","0.00","0.00","0.0","4"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","Fent","Active","","392","98","100%","0%","9.0","3.0","0.5","35.0","1.5","4.5","6.3","1.5","0.8","1.5","0.00","0.00","0.0","0"
"*03e75*","Nikola Jokic","DEN","C,Flx","DBD","Active","","364","121.33","100%","0%","5.0","1.0","1.0","25.0","1.3","15.0","11.3","1.3","0.7","4.7","0.00","0.00","0.7","3"
"*0011e*","LeBron James","LAL","F,Flx","15","Active","NY Thu 10:00PM","351","87.75","99%","-0.1%","9.5","3.0","1.0","28.0","2.0","10.8","6.0","1.3","1.0","5.0","0.00","0.00","0.0","2"
"*04kj6*","Luka Doncic","LAL","G,Flx","MylS","Active","NY Thu 10:00PM","323","80.75","100%","0%","11.3","3.8","3.3","27.8","1.0","7.3","8.5","1.5","0.3","5.0","0.00","0.00","0.0","2"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","TRH","Active","","308","102.67","100%","0%","8.7","0.3","3.0","27.7","2.3","13.3","8.7","0.7","1.0","1.7","0.00","0.00","0.3","2"
"*051oh*","Zion Williamson","NO","F,C,Flx","BabyOil","Active","HOU Thu 8:00PM","303","101","100%","0%","5.7","0.0","2.3","29.3","2.0","6.7","8.7","1.0","1.0","1.0","0.00","0.00","0.3","1"
"*0621b*","Jalen Williams","OKC","G,F,C,Flx","EE","Active","","302","75.5","100%","0%","8.8","3.3","1.0","26.8","0.5","5.0","5.3","0.8","0.8","1.5","0.00","0.00","0.0","0"
"*04ewf*","Bam Adebayo","MIA","F,C,Flx","PRO","Active","","297","74.25","100%","-0.1%","5.5","0.8","1.0","21.8","2.0","9.5","4.8","1.3","0.5","1.8","0.00","0.00","0.0","1"
