"ID","Player","Team","Position","RkOv","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*051ol*","Darius Garland","CLE","G,Flx","31","J&J","Active","","3707","60.77","99%","0%","8.2","2.9","0.4","21.0","0.6","2.6","6.7","1.2","0.2","2.4","0.10","0.00","0.0","6"
"*04qrj*","Jaren Jackson","MEM","F,C,Flx","32","J&J","Inj Res","UTA Wed 8:00PM","3700","62.71","99%","-0.9%","8.3","1.9","1.3","22.7","1.3","5.8","2.1","1.3","1.6","2.2","0.02","0.00","0.0","4"
"*042n4*","Jamal Murray","DEN","G,Flx","33","15","Active","MIN Wed 10:00PM","3674","63.34","99%","-0.2%","8.8","2.3","0.4","21.5","0.6","3.7","6.1","1.4","0.5","2.1","0.03","0.02","0.0","5"
"*02nf1*","Anthony Davis","DAL","F,C,Flx","34","Tribunal","Inj Res","@SA Wed 8:00PM","3638","84.6","96%","-2.4%","8.5","0.7","1.6","25.7","2.9","12.0","3.4","1.3","2.2","2.2","0.02","0.00","0.0","33"
"*04ewt*","Derrick White","BOS","G,Flx","35","BabyOil","Active","OKC Wed 7:30PM","3620","58.39","100%","-0.1%","7.0","3.5","0.3","16.6","0.9","4.3","4.4","0.9","1.0","1.6","0.02","0.00","0.0","3"
"*05uig*","Josh Giddey","CHI","G,F,Flx","36","15","Active","","3614","60.23","100%","0%","5.9","1.5","0.6","13.8","1.7","7.7","6.7","1.1","0.6","2.8","0.08","0.00","0.1","23"
"*05qsq*","Tyrese Maxey","PHI","G,Flx","37","Sar","Reserve","@TOR Wed 7:30PM","3604","69.31","100%","-0.1%","11.8","3.1","0.7","26.3","0.3","3.3","6.1","1.8","0.4","2.4","0.00","0.00","0.0","8"
"*03ams*","Zach LaVine","SAC","G,F,Flx","38","420","Active","","3562","62.49","99%","-0.3%","8.2","3.2","0.7","23.8","0.3","4.6","4.3","0.9","0.2","2.8","0.00","0.00","0.0","4"
"*06ca8*","Amen Thompson","HOU","G,F,Flx","39","BabyOil","Inj Res","PHO Wed 8:00PM","3484","58.07","97%","-1.8%","4.5","0.3","1.2","14.0","2.8","8.3","3.6","1.3","1.3","2.1","0.03","0.03","0.1","19"
"*06217*","Dyson Daniels","ATL","G,F,Flx","40","TRUMP","Active","CHA Wed 7:30PM","3482","58.03","96%","0%","6.3","1.1","0.8","14.1","1.6","5.6","4.2","3.0","0.7","1.9","0.03","0.00","0.0","6"
"*0621c*","Jalen Duren","DET","C,Flx","41","BabyOil","Active","","3471","55.1","99%","0%","2.0","0.0","0.9","11.4","3.5","10.3","2.6","0.8","1.2","1.8","0.06","0.00","0.0","32"
"*04qrr*","Michael Porter","DEN","F,Flx","42","15","Active","MIN Wed 10:00PM","3416","55.1","99%","-0.2%","6.8","2.6","0.6","18.5","1.8","6.9","2.1","0.6","0.5","1.3","0.00","0.00","0.0","12"
"*027oj*","Kyrie Irving","DAL","G,Flx","43","Fent","Active","@SA Wed 8:00PM","3342","66.84","80%","-6%","10.0","2.9","0.4","24.7","1.2","4.8","4.6","1.3","0.5","2.2","0.00","0.00","0.0","0"
"*05uie*","Scottie Barnes","TOR","G,F,Flx","44","J&J","Active","PHI Wed 7:30PM","3337","65.43","100%","0%","9.3","1.2","1.0","19.6","1.7","7.9","6.0","1.5","1.1","2.9","0.10","0.00","0.0","21"
"*05qt3*","Desmond Bane","MEM","G,F,Flx","45","420","Active","UTA Wed 8:00PM","3259","61.49","100%","-0.1%","7.3","2.2","0.4","18.7","0.9","6.2","5.5","1.2","0.5","2.5","0.08","0.00","0.0","9"
"*03lls*","Jaylen Brown","BOS","G,F,Flx","46","420","Active","OKC Wed 7:30PM","3255","60.28","99%","-0.2%","10.1","1.9","1.3","23.3","1.5","6.1","4.8","1.3","0.3","2.7","0.11","0.00","0.0","5"
"*05uus*","Austin Reaves","LAL","G,F,Flx","47","PRO","Active","","3219","57.48","100%","0%","7.7","2.5","0.7","18.8","0.9","4.3","5.9","1.1","0.3","2.4","0.11","0.02","0.0","8"
"*05qt1*","Payton Pritchard","BOS","G,Flx","48","PRO","Reserve","OKC Wed 7:30PM","3176","49.62","81%","-0.8%","5.5","3.3","0.2","14.2","1.3","3.8","3.5","0.9","0.2","0.9","0.00","0.00","0.0","4"
"*0527h*","Naz Reid","MIN","F,C,Flx","49","Fent","Active","@DEN Wed 10:00PM","3173","48.82","99%","-0.1%","6.4","2.3","0.4","14.9","1.2","6.1","2.2","0.7","1.0","1.3","0.09","0.00","0.0","10"
"*01eon*","DeMar DeRozan","SAC","G,F,Flx","50","DBD","Active","","3170","53.73","100%","-0.1%","8.6","1.1","0.7","22.1","0.6","4.0","4.1","0.9","0.4","1.4","0.08","0.00","0.0","1"
"*05uic*","Jalen Green","HOU","G,Flx","52","Tribunal","Active","PHO Wed 8:00PM","3152","48.49","99%","-0.1%","10.1","2.9","0.7","21.0","0.5","4.4","3.3","0.8","0.3","2.6","0.09","0.02","0.0","2"
"*0621k*","Christian Braun","DEN","G,F,Flx","51","MylS","Active","MIN Wed 10:00PM","3152","49.25","88%","-0.1%","4.5","1.1","0.5","15.3","1.3","5.1","2.4","1.1","0.5","1.0","0.02","0.00","0.0","4"
"*04qs1*","Anfernee Simons","POR","G,Flx","53","15","Active","NY Wed 10:00PM","3139","50.63","99%","-0.1%","9.1","3.1","0.3","19.5","0.3","2.7","4.8","0.9","0.1","2.1","0.02","0.00","0.0","2"
"*0017e*","Chris Paul","SA","G,Flx","54","Sar","Active","DAL Wed 8:00PM","3137","49.79","95%","-0.9%","4.1","1.7","0.1","8.9","0.4","3.7","7.9","1.3","0.2","1.4","0.10","0.02","0.0","12"
