"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","DBD","Active","MIN Wed 10:00PM","3244","120.15","100%","0%","6.3","1.6","1.0","25.6","2.2","13.0","11.2","1.7","0.8","3.4","0.04","0.00","0.5","25"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","Fent","Active","@BOS Wed 7:30PM","2359","90.73","100%","0%","10.5","2.2","1.0","34.5","1.0","4.6","6.6","1.5","0.9","2.3","0.04","0.00","0.0","2"
"*0011e*","LeBron James","LAL","F,Flx","15","Reserve","","2161","86.44","98%","-1.4%","9.0","2.4","1.2","26.5","1.2","8.9","8.1","1.1","0.7","4.2","0.00","0.00","0.1","13"
"*01eo6*","James Harden","LAC","G,Flx","Sar","Active","@MIA Wed 8:00PM","2126","78.74","100%","0%","10.3","3.2","1.0","23.4","0.7","5.5","9.8","1.5","0.6","4.3","0.00","0.00","0.0","17"
"*05uib*","Cade Cunningham","DET","G,Flx","EE","Active","","2073","76.78","100%","0%","11.3","1.9","0.5","27.4","0.6","5.5","9.2","1.1","0.7","4.9","0.11","0.00","0.1","12"
"*03nwm*","Devin Booker","PHO","G,F,Flx","Sar","Active","@HOU Wed 8:00PM","2010","71.79","99%","-0.1%","10.0","2.9","0.7","27.7","0.9","4.3","6.7","1.0","0.2","3.4","0.07","0.00","0.0","3"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","TRH","Active","","1935","87.95","100%","0%","7.5","0.2","3.9","29.3","2.7","12.5","5.5","0.7","0.8","3.0","0.00","0.00","0.1","18"
"*001aw*","Kevin Durant","PHO","F,Flx","BabyOil","Active","@HOU Wed 8:00PM","1926","74.08","99%","-0.3%","8.6","2.7","0.9","26.7","0.3","5.9","4.7","1.0","1.3","2.7","0.15","0.00","0.0","2"
"*05qug*","Anthony Edwards","MIN","G,F,Flx","TRUMP","Active","@DEN Wed 10:00PM","1924","74","100%","0%","11.4","3.8","1.3","29.3","0.9","6.4","5.3","1.0","0.7","3.6","0.31","0.04","0.0","5"
"*02nf6*","Damian Lillard","MIL","G,Flx","BabyOil","Active","","1907","76.28","99%","-0.1%","9.3","3.4","0.5","25.7","0.4","5.0","6.9","1.2","0.2","3.0","0.00","0.00","0.1","5"
"*03xmv*","Jayson Tatum","BOS","F,Flx","ROMO","Reserve","OKC Wed 7:30PM","1905","76.2","100%","0%","11.5","3.4","1.0","26.3","0.8","8.2","6.3","0.9","0.6","3.0","0.16","0.00","0.0","11"
"*01enh*","Stephen Curry","GS","G,Flx","TRUMP","Active","","1898","73","99%","-0.5%","10.6","4.6","0.3","26.8","0.7","3.6","6.2","1.0","0.3","2.7","0.04","0.00","0.0","3"
"*04qrp*","Miles Bridges","CHA","F,Flx","Tribunal","Active","@ATL Wed 7:30PM","1841","65.75","99%","0%","10.4","2.6","0.6","23.8","1.4","7.9","3.9","0.8","0.8","2.3","0.14","0.00","0.0","7"
"*042n4*","Jamal Murray","DEN","G,Flx","15","Active","MIN Wed 10:00PM","1821","67.44","99%","-0.2%","8.7","2.6","0.3","24.4","0.8","3.4","5.9","1.3","0.4","2.0","0.07","0.04","0.0","1"
"*042nt*","Ivica Zubac","LAC","C,Flx","Sar","Active","@MIA Wed 8:00PM","1791","68.88","99%","0%","4.7","0.0","0.6","17.5","3.5","12.5","2.5","0.9","1.2","1.3","0.08","0.00","0.0","19"
"*0621c*","Jalen Duren","DET","C,Flx","BabyOil","Active","","1789","63.89","99%","0%","2.3","0.0","0.7","13.7","3.8","11.5","2.8","1.0","1.1","1.7","0.07","0.00","0.0","19"
"*06ca8*","Amen Thompson","HOU","G,F,Flx","BabyOil","Inj Res","PHO Wed 8:00PM","1782","71.28","97%","-1.8%","5.5","0.4","1.3","16.2","3.1","9.4","5.4","1.6","1.6","2.5","0.04","0.04","0.1","10"
"*05uig*","Josh Giddey","CHI","G,F,Flx","15","Active","","1778","68.38","100%","0%","6.2","1.8","0.6","16.3","2.1","8.4","6.7","1.1","0.8","2.8","0.08","0.00","0.0","15"
"*05uir*","Trey Murphy","NO","F,Flx","420","Active","","1769","65.52","99%","0%","8.9","3.0","0.7","22.7","0.9","5.6","4.5","1.1","0.8","2.3","0.11","0.00","0.0","2"
"*04ewf*","Bam Adebayo","MIA","F,C,Flx","PRO","Active","LAC Wed 8:00PM","1721","66.19","100%","0%","6.9","1.0","0.8","20.1","2.7","10.4","4.1","0.8","0.4","2.2","0.00","0.00","0.0","15"
