"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C","1","PartyMar","@PHO Sat 9:00PM","2186","121.44","100%","0%","18","113.0","37","19","524","58","227","198","28","14","63","0","0","10","17"
"*04qro*","Shai Gilgeous-Alexander","OKC","G","2","L Bozo","","1851","92.55","100%","0%","20","181.0","44","22","657","10","97","133","31","15","34","0","0","0","2"
"*05qsq*","Tyrese Maxey","PHI","G","3","420","","1609","89.39","100%","0%","18","215.0","69","16","570","5","84","135","28","15","47","2","0","0","2"
"*01eo6*","James Harden","LAC","G","4","ASS","DAL Sat 10:00PM","1545","85.83","100%","0%","18","180.0","69","14","497","12","104","154","20","7","70","0","0","2","7"
"*04kj6*","Luka Doncic","LAL","G","5","GOD","","1506","107.57","100%","0%","14","167.0","52","34","492","11","119","131","25","8","58","3","0","1","11"
"*05uiu*","Jalen Johnson","ATL","F","6","ASS","","1486","82.56","100%","0%","18","124.0","25","20","394","22","173","131","30","7","56","1","0","2","10"
"*04ewe*","Donovan Mitchell","CLE","G","7","Penta","","1465","81.39","100%","0%","18","185.0","74","19","551","14","84","96","25","6","59","0","0","0","1"
"*031m2*","Giannis Antetokounmpo","MIL","F,C","8","HAIRY","BKN Sat 8:00PM","1382","98.71","100%","0%","14","96.0","9","52","435","50","156","97","13","15","49","0","0","0","9"
"*05uie*","Scottie Barnes","TOR","F","9","UBER","@CHA Sat 6:00PM","1378","72.53","100%","0%","19","138.0","24","10","370","41","150","95","27","31","42","2","0","0","9"
"*05uib*","Cade Cunningham","DET","G","10","BALL","@MIA Sat 8:00PM","1360","85","100%","0%","16","195.0","33","24","461","24","105","151","19","11","62","2","0","2","11"
"*03ad3*","Karl-Anthony Towns","NY","F,C","11","Penta","","1340","74.44","100%","0%","18","155.0","32","14","390","57","219","61","15","15","47","1","0","0","15"
"*05qtj*","Deni Avdija","POR","G,F","12","GOD","","1337","70.37","100%","0%","19","168.0","51","31","485","24","122","105","10","14","69","0","0","1","5"
"*05uig*","Josh Giddey","CHI","G","13","Bomb","@IND Sat 7:30PM","1318","82.38","100%","0%","16","131.0","29","23","332","23","159","151","16","7","54","1","0","4","12"
"*03nwm*","Devin Booker","PHO","G,F","14","HAIRY","DEN Sat 9:00PM","1315","65.75","99%","-0.1%","20","204.0","38","21","515","21","89","137","19","8","80","2","0","0","4"
"*03ajv*","Julius Randle","MIN","F","15","PRO","BOS Sat 5:00PM","1305","72.5","100%","0%","18","143.0","32","24","422","29","135","102","22","4","49","0","0","2","5"
"*05uid*","Evan Mobley","CLE","F,C","16","GN","","1291","67.95","100%","-0.1%","19","133.0","30","46","356","48","170","77","21","31","50","0","0","0","8"
"*04azw*","Lauri Markkanen","UTA","F","17","TRUMP","","1269","70.5","99%","0%","18","197.0","59","12","513","40","111","40","17","8","24","0","0","0","1"
"*05uus*","Austin Reaves","LAL","G,F","18","GOD","","1255","83.67","100%","0%","15","124.0","40","17","428","13","88","101","20","1","46","0","0","0","5"
"*05uii*","Franz Wagner","ORL","F","19","BALL","","1244","62.2","100%","0%","20","169.0","30","26","456","34","128","76","22","7","36","0","0","0","0"
"*05uiq*","Alperen Sengun","HOU","F,C","20","PRO","","1239","77.44","100%","0%","16","137.0","19","29","352","48","151","113","18","14","54","0","0","0","9"
"*042n4*","Jamal Murray","DEN","G","21","L Bozo","@PHO Sat 9:00PM","1224","72","99%","0%","17","155.0","49","8","408","8","78","115","18","6","39","0","0","0","4"
"*027pe*","Jimmy Butler","GS","F","22","GWBush","NO Sat 8:30PM","1221","67.83","99%","-0.1%","18","98.0","17","18","360","40","101","88","31","5","25","1","0","0","2"
"*06227*","Ryan Rollins","MIL","G","23","ASS","BKN Sat 8:00PM","1218","60.9","84%","+0.1%","20","149.0","49","9","366","17","84","119","31","7","54","1","0","0","1"
"*04qrn*","Mikal Bridges","NY","G,F","24","9/11FT","","1198","66.56","100%","0%","18","103.0","40","7","292","21","82","80","38","22","19","0","0","0","1"
"*06cby*","Keyonte George","UTA","G","25","UBER","","1192","66.22","99%","+0.1%","18","167.0","41","13","428","10","74","128","18","5","59","0","0","0","2"
"*05uir*","Trey Murphy","NO","G,F","26","420","@GS Sat 8:30PM","1191","62.68","100%","0%","19","149.0","56","5","375","25","117","61","33","4","41","1","0","0","2"
