ID,Player,Team,Position,Status,Opponent,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*03e75*,Nikola Jokic,DEN,"C,Flx",DBD,,6984,101.22,69,376,57,74,"1,690",167,817,678,87,47,247,4,0,29,58
*042n7*,Domantas Sabonis,SAC,"C,Flx",PRO,,6528,82.63,79,361,31,113,"1,510",251,973,573,65,39,230,2,0,14,65
*04kj6*,Luka Doncic,LAL,"G,Flx",MylS,,6201,93.95,66,730,185,179,"2,138",54,569,529,90,33,236,17,1,10,36
*03xmv*,Jayson Tatum,BOS,"F,Flx",ROMO,,6109,82.55,74,832,240,91,"2,225",78,649,342,78,51,213,11,1,1,31
*03al2*,Joel Embiid,PHI,"C,Flx",FA,,6041,91.53,66,600,66,110,"2,183",113,670,274,66,112,226,6,0,1,39
*031m2*,Giannis Antetokounmpo,MIL,"F,C,Flx",TRH,,5513,87.51,63,571,47,274,"1,959",137,742,359,52,51,246,6,0,6,46
*03ajv*,Julius Randle,MIN,"F,Flx",Tribunal,,5500,71.43,77,774,218,129,"1,936",141,767,316,49,21,216,11,1,0,40
*04qro*,Shai Gilgeous-Alexander,OKC,"G,Flx",Fent,,5398,79.38,68,677,58,70,"2,135",59,329,371,112,65,192,2,0,0,3
*027p0*,Nikola Vucevic,CHI,"C,Flx",TRUMP,,5343,65.16,82,551,121,26,"1,447",159,903,265,60,57,139,8,1,1,51
*04qrk*,Trae Young,ATL,"G,Flx",J&J,,5306,72.68,73,793,154,73,"1,914",56,217,741,80,9,300,17,1,0,40
*05qug*,Anthony Edwards,MIN,"G,F,Flx",TRUMP,,5177,65.53,79,834,213,103,"1,946",47,458,350,125,58,259,14,1,0,9
*02nf6*,Damian Lillard,POR,"G,Flx",BabyOil,,5003,86.26,58,646,244,48,"1,866",44,277,425,50,18,191,8,0,2,16
*042nm*,Pascal Siakam,IND,"F,Flx",Sar,,4990,70.28,71,683,93,107,"1,720",131,556,415,65,36,169,6,0,2,24
*04ewe*,Donovan Mitchell,CLE,"G,Flx",J&J,,4966,73.03,68,723,245,49,"1,922",63,289,301,99,27,180,2,1,0,5
*01eo6*,James Harden,LAC,"G,Flx",Sar,,4813,82.98,58,471,161,48,"1,216",40,354,618,71,31,195,3,0,5,36
*049kb*,DeAaron Fox,SA,"G,Flx",FA,,4801,65.77,73,649,119,97,"1,826",40,306,447,83,23,181,11,1,0,11
*02nf1*,Anthony Davis,DAL,"F,C,Flx",Tribunal,,4786,85.46,56,420,19,96,"1,451",195,702,148,59,114,122,1,0,0,40
*01enh*,Stephen Curry,GS,"G,Flx",TRUMP,,4760,85,56,574,273,24,"1,648",39,341,352,52,20,179,5,1,1,12
*03ams*,Zach LaVine,SAC,"G,F,Flx",420,,4744,61.61,77,715,204,65,"1,913",42,345,327,69,18,194,3,0,0,2
*04ewf*,Bam Adebayo,MIA,"F,C,Flx",PRO,,4707,62.76,75,512,1,78,"1,529",184,688,240,88,61,187,7,1,0,31
*04azw*,Lauri Markkanen,UTA,"F,Flx",MylS,,4685,70.98,66,574,200,50,"1,691",130,570,123,42,38,127,0,0,0,28
*027pe*,Jimmy Butler,GS,"F,Flx",420,,4672,73,64,409,36,83,"1,466",141,375,340,117,21,101,1,0,0,11
*04qrn*,Mikal Bridges,NY,"G,F,Flx",DBD,,4628,55.76,83,674,169,37,"1,671",79,364,273,91,61,127,1,0,0,2
*05uid*,Evan Mobley,CLE,"F,C,Flx",J&J,,4598,58.2,79,422,22,99,1277,187,711,224,60,119,146,0,0,0,24
*05qtv*,Tyrese Haliburton,IND,"G,Flx",15,,4591,81.98,56,429,161,26,1160,33,205,585,91,25,141,3,0,0,32
*03el5*,Kristaps Porzingis,ATL,"C,Flx",MylS,,4577,70.42,65,511,137,62,"1,505",114,546,174,58,100,137,7,0,0,20
*04848*,Fred VanVleet,HOU,"G,Flx",Tribunal,,4577,66.33,69,675,207,29,"1,335",30,280,495,123,38,140,8,1,1,10
*042nq*,Dejounte Murray,NO,"G,Flx",420,,4570,61.76,74,707,133,32,"1,515",53,389,448,112,19,160,8,0,1,8
*027oj*,Kyrie Irving,DAL,"G,Flx",Fent,,4548,75.8,60,609,188,26,"1,623",59,304,331,66,45,128,3,0,0,5
*01eon*,DeMar DeRozan,SAC,"F,Flx",DBD,,4538,61.32,74,646,46,67,"1,816",34,343,377,83,36,153,12,1,0,6
*0011e*,LeBron James,LAL,"F,Flx",15,,4489,81.62,55,610,121,76,"1,590",65,457,375,50,32,178,1,0,2,18
*051pb*,Nicolas Claxton,BKN,"C,Flx",15,,4483,58.99,76,173,0,113,961,184,702,144,65,189,96,11,0,0,28
*03lls*,Jaylen Brown,BOS,"G,F,Flx",420,,4454,66.48,67,704,163,81,"1,784",78,459,232,75,26,197,3,0,0,13
*01eo9*,Jrue Holiday,POR,"G,Flx",EE,,4453,66.46,67,533,158,25,"1,290",79,341,495,79,25,197,0,0,0,16
*05uig*,Josh Giddey,CHI,"G,Flx",15,,4448,58.53,76,579,76,39,"1,260",148,599,469,57,31,211,2,0,4,28
*051ol*,Darius Garland,CLE,"G,Flx",J&J,,4443,64.39,69,607,169,44,"1,490",28,185,538,85,9,199,3,0,0,18
*031lx*,CJ McCollum,WAS,"G,Flx",420,,4392,58.56,75,757,211,55,"1,568",55,328,429,70,38,183,6,0,0,6
*051oi*,Ja Morant,MEM,"G,Flx",420,,4363,71.52,61,648,92,125,"1,596",61,357,493,66,16,206,7,2,7,20
*05uiq*,Alperen Sengun,HOU,"C,Flx",EE,,4356,58.08,75,357,19,82,1109,242,678,291,70,70,193,4,0,2,29
*03e74*,Spencer Dinwiddie,CHA,"G,Flx",J&J,,4342,54.96,79,590,181,62,1369,28,270,515,67,24,145,7,1,0,9
*042n3*,Buddy Hield,GS,"G,F,Flx",PRO,,4329,54.11,80,563,288,23,1344,67,400,225,92,26,139,1,0,0,3
*04qsa*,Jalen Brunson,NY,"G,Flx",J&J,,4320,63.53,68,608,134,67,"1,633",40,241,421,61,15,142,2,0,0,5
*005ki*,Brook Lopez,LAC,"C,Flx",Fent,,4241,54.37,78,422,136,41,"1,239",157,520,99,37,193,107,9,2,0,11
*05uie*,Scottie Barnes,TOR,"F,Flx",J&J,,4147,53.86,77,553,63,56,"1,179",179,512,371,83,61,154,6,1,1,15
*005kc*,Russell Westbrook,DEN,"G,Flx",Fent,,4079,55.88,73,559,89,108,1159,89,423,551,76,33,255,7,0,4,24
*02xg9*,Rudy Gobert,MIN,"C,Flx",Fent,,4075,58.21,70,186,0,121,939,231,814,87,56,95,122,5,1,0,35
*03ad4*,DAngelo Russell,DAL,"G,Flx",EE,,3981,56.07,71,503,194,37,"1,263",35,215,437,70,29,186,6,2,0,9
*027oo*,Jonas Valanciunas,DEN,"C,Flx",MylS,,3964,50.18,79,370,38,39,"1,115",225,804,140,20,52,159,4,1,0,43
*031m9*,Mason Plumlee,CHA,"C,Flx",FA,,3964,50.18,79,155,0,114,857,229,700,245,46,47,117,2,0,0,23
*042n6*,Jakob Poeltl,TOR,"C,Flx",15,,3953,54.9,72,229,0,82,897,236,653,197,66,86,125,0,0,0,19
*051p8*,Jordan Poole,NO,"G,Flx",DBD,,3937,48.01,82,728,214,54,"1,675",32,225,369,63,21,252,14,1,0,1
*04ewm*,Jarrett Allen,CLE,"C,Flx",ROMO,,3930,57.79,68,223,1,59,969,221,666,113,54,84,93,0,0,0,32
*05uii*,Franz Wagner,ORL,"F,Flx",MylS,,3920,49,80,576,130,51,"1,485",70,329,283,77,17,167,3,0,0,2
*042n4*,Jamal Murray,DEN,"G,Flx",15,,3880,59.69,65,568,172,36,"1,298",48,257,400,66,16,145,2,0,1,5
*01uyj*,Paul George,PHI,"F,Flx",Tribunal,,3831,68.41,56,545,158,38,1332,45,342,288,83,20,176,5,0,1,8
*04qrj*,Jaren Jackson,MEM,"F,C,Flx",J&J,,3815,60.56,63,406,100,65,"1,173",108,426,60,65,189,107,9,0,0,7
*049kd*,Deandre Ayton,LAL,"C,Flx",DBD,,3796,56.66,67,365,7,48,"1,203",172,667,115,37,53,120,7,0,0,36
*05qu9*,Immanuel Quickley,TOR,"G,Flx",Tribunal,,3764,46.47,81,517,168,45,1209,58,337,279,80,14,100,0,0,0,4
*06210*,Paolo Banchero,ORL,"F,Flx",EE,,3742,51.97,72,643,85,140,"1,437",84,497,269,60,39,200,3,0,0,14
*027ou*,Klay Thompson,DAL,"G,F,Flx",TRH,,3723,53.96,69,706,301,16,"1,509",39,286,163,49,29,123,5,1,0,2
*03ad2*,Myles Turner,MIL,"C,Flx",PRO,,3712,59.87,62,331,93,60,"1,113",88,466,89,36,140,103,0,0,0,18
*04ewt*,Derrick White,BOS,"G,Flx",BabyOil,,3708,45.22,82,408,149,24,"1,017",52,293,321,54,76,95,0,0,0,7
*03ad7*,Kevon Looney,NO,"C,Flx",FA,,3704,45.17,82,142,0,61,578,274,760,207,52,50,45,0,0,0,14
*05uic*,Jalen Green,PHO,"G,Flx",Tribunal,,3698,48.66,76,793,187,99,1683,43,284,281,59,18,200,4,0,0,0
*0017e*,Chris Paul,LAC,"G,Flx",Sar,,3696,62.64,59,374,98,27,819,27,251,524,91,22,114,6,0,0,17
*051ot*,Tyler Herro,MIA,"G,Flx",TRH,,3688,55.04,67,622,203,12,1347,27,360,280,51,16,158,4,0,1,6
*001aw*,Kevin Durant,HOU,"F,Flx",BabyOil,,3688,78.47,47,379,93,27,1366,17,313,235,34,67,156,11,0,1,5
*02nfz*,Draymond Green,GS,"F,C,Flx",DBD,,3685,50.48,73,224,40,31,617,66,525,500,74,60,204,17,2,0,11
*04ewu*,Josh Hart,NY,"G,F,Flx",Sar,,3667,48.25,76,245,61,44,743,142,593,290,88,21,117,12,1,0,10
*027oz*,Kawhi Leonard,LAC,"F,Flx",ROMO,,3627,69.75,52,425,104,36,"1,239",57,338,204,72,28,88,1,0,0,4
*03e6s*,Clint Capela,HOU,"C,Flx",ROMO,,3618,55.66,65,186,0,52,779,258,717,58,45,79,54,0,0,0,35
*042nt*,Ivica Zubac,LAC,"C,Flx",Sar,,3607,47.46,76,188,0,72,818,236,756,77,29,98,117,0,0,0,27
*03al0*,Aaron Gordon,DEN,"F,Flx",Fent,,3604,53,68,332,60,123,1109,164,446,203,54,51,98,8,0,0,11
*03nwm*,Devin Booker,PHO,"G,F,Flx",Sar,,3602,67.96,53,540,111,52,"1,471",46,240,293,51,18,145,9,0,0,5
*05uir*,Trey Murphy,NO,"F,Flx",420,,3597,45.53,79,413,202,18,1148,59,281,112,89,43,61,1,0,0,1
*027p4*,Tobias Harris,DET,"F,Flx",Tribunal,,3573,48.28,74,422,126,16,1085,67,424,186,68,40,89,1,0,0,7
*04ewn*,OG Anunoby,NY,"F,Flx",15,,3571,53.3,67,464,142,27,"1,124",95,332,131,128,50,132,2,0,0,2
*04ewr*,Kyle Kuzma,MIL,"F,Flx",DBD,,3564,55.69,64,630,160,64,1357,55,463,239,36,29,190,2,0,1,14
*0621b*,Jalen Williams,OKC,"G,F,Flx",Tribunal,,3561,47.48,75,380,73,36,1056,84,337,248,103,35,123,0,0,0,3
*0621l*,Walker Kessler,UTA,"C,Flx",Tribunal,,3542,47.86,74,116,1,77,679,231,620,69,26,173,58,0,0,0,20
*04qrw*,Kevin Huerter,CHI,"G,Flx",Sar,,3538,47.17,75,446,205,36,1140,42,251,221,80,24,97,3,0,0,0
*051pa*,Kevin Porter,MIL,"G,Flx",FA,,3524,59.73,59,493,141,57,"1,130",76,314,338,82,17,188,7,1,1,9
*05qt3*,Desmond Bane,ORL,"G,F,Flx",420,,3523,60.74,58,489,166,24,1247,43,291,254,56,22,126,3,1,0,1
*03nwl*,Terry Rozier,MIA,"G,Flx",FA,,3485,55.32,63,695,165,42,"1,329",51,259,319,74,16,134,1,0,0,1
*05qtt*,Onyeka Okongwu,ATL,"C,Flx",420,,3453,43.16,80,180,4,43,791,217,576,81,56,107,81,0,0,0,12
*03nwq*,Christian Wood,(N/A),"F,Flx",FA,,3433,51.24,67,373,105,64,1114,87,491,121,30,72,121,1,0,0,12
*03nwn*,Bobby Portis,MIL,"F,C,Flx",420,,3419,48.84,70,405,95,29,987,154,672,105,29,16,81,7,0,0,38
*051os*,P.J. Washington,DAL,"F,Flx",TRH,,3412,46.74,73,544,149,47,1144,73,358,175,66,79,110,1,0,0,3
*02nf7*,Harrison Barnes,SA,"F,Flx",DBD,,3366,41.05,82,417,132,63,"1,230",87,366,128,57,10,86,1,0,0,0
*03aq2*,Jerami Grant,POR,"F,Flx",EE,,3341,53.03,63,479,144,64,1290,53,283,150,51,53,116,2,0,0,2
*0015e*,Mike Conley,MIN,"G,Flx",ROMO,,3334,49.76,67,349,135,28,798,33,182,450,73,14,103,0,0,0,6
*05qtq*,Tre Jones,CHI,"G,Flx",Tribunal,,3321,48.84,68,402,45,24,875,56,245,448,89,9,110,0,0,2,6
*04qsj*,Bruce Brown,DEN,"G,Flx",FA,,3313,41.41,80,383,91,37,923,63,328,268,87,51,123,3,0,1,3
*06214*,Jaden Ivey,DET,"G,Flx",FA,,3296,44.54,74,574,120,90,"1,204",73,288,387,61,17,237,6,0,0,8
*03ad0*,Tyus Jones,ORL,"G,Flx",DBD,,3280,41,80,399,121,20,823,28,200,417,83,6,74,0,0,1,9
*04qsm*,DeAnthony Melton,BKN,"G,Flx",FA,,3259,42.32,77,374,157,18,780,69,312,197,126,41,102,1,0,0,0
*06213*,Keegan Murray,SAC,"F,Flx",TRH,,3250,40.62,80,428,206,19,976,89,371,98,61,42,60,0,0,0,4
*031m0*,Kelly Olynyk,SA,"C,Flx",MylS,,3249,47.78,68,279,93,34,847,82,420,252,60,37,168,3,0,0,9
*04qs1*,Anfernee Simons,BOS,"G,Flx",15,,3224,52,62,578,212,19,1306,18,161,253,42,14,128,0,0,0,0
*03aq3*,Kyle Anderson,UTA,"F,Flx",FA,,3208,46.49,69,243,43,36,647,66,368,335,78,63,103,7,1,3,10
*06212*,Jabari Smith,HOU,"F,Flx",Sar,,3199,40.49,79,528,120,44,"1,010",122,569,101,43,74,104,9,0,0,16
*051p9*,Keldon Johnson,SA,"G,F,Flx",420,,3177,50.43,63,610,134,82,1385,56,318,183,46,11,134,1,0,0,5
*04qsi*,Jarred Vanderbilt,LAL,"F,Flx",FA,,3176,40.72,78,204,29,43,619,170,582,184,83,21,97,2,0,0,10
*05qym*,Kenyon Martin,UTA,"F,Flx",FA,,3164,38.59,82,310,68,71,1039,126,452,123,41,30,91,5,0,0,5
*05qu0*,Jaden McDaniels,MIN,"F,Flx",TRH,,3135,39.68,79,346,107,38,953,92,307,148,74,76,112,4,1,0,0
